Firma lub nazwa,Adres siedziby,Zakres czynności,KRS,NIP,REGON,Data zezwolenia,Numer decyzji,CzlonekZarzadu1_PESEL,CzlonekZarzadu1_Imie,CzlonekZarzadu1_DrugieImie,CzlonekZarzadu1_Nazwisko
Klinika Stomatologiczna Dent-Med Spółka Akcyjna,"ulica Długa 171, 80-831 Gdańsk",zarządzanie portfelami,0000000978,1235597366,,05/08/2021,DFI/421/2026,70122820541,Aleksandra,Małgorzata,Mazur
Polski Tytoń sp. z o.o.,"Grunwaldzka 8, 80-236 Gdańsk",przyjmowanie i przekazywanie zleceń,0000001075,1235676551,,2021/12/10,DFI/673/2025,71010721939,Andrzej,Jakub,Krawczyk
Gdańska Stocznia Jachtowa sp z oo,"ul. Jagiellońska 25/67, 70-435 Szczecin",wykonywanie zleceń na rachunek klientów,0000001172,1235755747,,30-12-2021,DFI/517/2026,72021423289,Marta,,Woźniak
Wytwórnia Makaronu Jajecznego sp. z o. o.,"ul Wyszyńskiego 42, 70-200 Szczecin",przyjmowanie i przekazywanie zlecen,0000001269,1235834932,,2022-10-12,DFI/976/2020,73032124675,Łukasz,Artur,Jankowski
Zakłady Mięsne Tradycja Sp. z o.o.,"ulica Mariacka 59, 40-014 Katowice",zarządzanie portfelami,0000001366,1235914128,,20241209,DFI/443/2023,74042826025,Paulina,Iwona,Grabowska
Spółdzielnia Mleczarska Radomsko SP Z O O,"Warszawska 76, 40-009 Katowice",doradztwo inwestycyjne,0000001463,1235993317,,15/06/2023,DFI/827/2025,75050727418,Mateusz,,Pawlak
Kancelaria Finansowo-Księgowa Bilans spółka z ograniczoną odpowiedzialnością,"ul. Krakowskie Przedmieście 93/29, 20-002 Lublin",przyjmowanie i przekazywanie zleceń,0000001560,1236072507,,2019/23/12,DFI/877/2022,76061428767,Elżbieta,Renata,Michalska
Zarząd Nieruchomości Komercyjnych Spółka z ograniczoną odpowiedzialnością,"ul Narutowicza 110, 20-004 Lublin",,0000001657,1236151690,,,,,Dawid,Maciej,Król
Polskie Linie Oceaniczne S.A.,"ulica Lipowa 127, 15-424 Białystok",przyjmowanie i przekazywanie zleceń,0000001754,1236230886,,2021-11-06,DFI/627/2017,78082831506,Dorota,,Wieczorek
Hurtownia Materiałów Budowlanych Cegiełka SA,"Sienkiewicza 144, Białystok",doradztwo inwestycyjne,0000001851,1236310071,,20220327,DFI/804/2017,79090732890,Dariusz,Zbigniew,Jabłoński
PPHU Studio Projektowe Architektura,"ul. Gdańska 161/81, 85-005 Bydgoszcz",wykonywanie zleceń na rachunek klientów,0000001948,1236389262,,22/04/2025,DFI/243/2024,80101434241,Beata,Patrycja,Witkowska
Centrum Medycyny Pracy Spółka Akcyjna,"ul Dworcowa 178, 85-009 Bydgoszcz",zarządzanie portfelami,0000002045,1236468458,,2020/14/03,DFI/719/2025,81112135637,Sławomir,,Walczak
Przedsiębiorstwo Energetyki Cieplnej sp. z o.o.,"ulica Szeroka 15, 87-100 Toruń",doradztwo inwestycyjne,0000002142,1236547643,,25-09-2019,DFI/125/2025,82122836987,Urszula,Wiktoria,Stępień
Gospodarstwo Rolno-Ogrodnicze sp z oo,"Chełmińska 32, 87-100 Toruń",przyjmowanie i przekazywanie zleceń,0000002239,1236626839,,2023-15-07,DFI/725/2020,83010738376,Mariusz,Jacek,Baran
Drukarnia Wielkoformatowa Impress sp. z o. o.,"ul. 3 Maja 49/43, 35-030 Rzeszów",przyjmowanie i przekazywanie zleceń,0000002336,1236706024,,20210513,DFI/134/2021,84021439724,Izabela,,Rutkowska
Klub Fitness Sylwetka Sp. z o.o.,"ul Piłsudskiego 66, 35-074 Rzeszów",doradztwo inwestycyjne,0000002433,1236785213,,10/06/2024,DFI/170/2026,85032141114,Henryk,Przemysław,Górski
Polska Grupa Energetyczna SP Z O O,"ulica Sienkiewicza 83, 25-007 Kielce",wykonywanie zleceń na rachunek klientów,0000002530,1236864409,,2019/09/05,DFI/107/2024,86042842464,Weronika,Kinga,Sikora
Mazowieckie Zakłady Drobiarskie spółka z ograniczoną odpowiedzialnością,"Warszawska 100, 25-512 Kielce",zarządzanie portfelami,0000002627,1236943592,,07-07-2018,DFI/334/2020,87050743857,Stanisław,,Ostrowski
Hurtownia Farmaceutyczna Aptekarz Spółka z ograniczoną odpowiedzialnością,"ul. Kościuszki 117/5, 10-504 Olsztyn",przyjmowanie i przekazywanie zleceń,0000002724,1237022782,,2017-21-06,DFI/470/2022,88061445206,Zofia,Kamila,Tomaszewska
Kancelaria Notarialna Lex S.A.,"os. Dąbrowszczaków 134, 10-540 Olsztyn",zarządzanie portfelami,0000002821,1237101978,,20221220,DFI/572/2023,89072146593,Bartłomiej,Daniel,Zając
Biuro Podróży Wojażer SA,"ulica Krakowska 151, 45-018 Opole",wykonywanie zleceń na rachunek klientów,0000002918,1237181167,,19/02/2017,DFI/633/2021,90082847941,Olga,,Pietrzak
Szkoła Języków Obcych Lingua S. A.,"Ozimska 168, 45-057 Opole",przyjmowanie i przekazywanie zleceń,0000003015,1237260352,,2023/08/02,DFI/571/2022,91090749335,Damian,Waldemar,Wójcicki
Centrum Logistyczne Podlasie Spółka Akcyjna,"ul. Bohaterów Westerplatte 5/57, 65-034 Zielona Góra",zarządzanie portfelami,0000003112,1247339575,,28-01-2018,DFI/126/2021,92101450680,Ewelina,Danuta,Czarnecka
Fabryka Mebli Drewnianych Dąb sp. z o.o.,"ul Kupiecka 22, 65-058 Zielona Góra",przyjmowanie i przekazywanie zleceń,0000003209,1237418735,,2022-21-06,DFI/111/2022,93112152077,Bartosz,,Lis
Polskie Sady sp z oo,"ulica Świętojańska 39, 81-372 Gdynia",zarządzanie portfelami,0000003306,1237497924,,20211212,DFI/458/2018,94122853426,Sylwia,Aneta,Kołodziej
Wielkopolska Hurtownia Stali sp. z o. o.,"10 Lutego 56, 81-364 Gdynia",wykonywanie zleceń na rachunek klientów,0000003403,1247577145,,08/03/2020,DFI/683/2023,95010754814,Leszek,Kacper,Kaczmarek
Zakład Oczyszczania Miasta Sp. z o.o.,"ul. Bolesława Prusa 73/19, 05-800 Pruszków",doradztwo inwestycyjne,0000003500,1237656305,,2023/04/09,DFI/356/2025,96021456164,Grażyna,,Piątek
Przedsiębiorstwo Wodociągów i Kanalizacji SP Z O O,05-500 Piaseczno,zarządzanie portfelami,0000003597,1237735499,,07-09-2024,DFI/559/2018,97032157550,Cezary,Szymon,Sadowski
Instytut Badań Rynkowych spółka z ograniczoną odpowiedzialnością,"ulica Sienkiewicza 107, 32-020 Wieliczka",wykonywanie zleceń na rachunek klientów,0000003694,1237814684,,2018-26-04,DFI/490/2020,98042858909,Bożena,Oliwia,Włodarczyk
Agencja Ochrony Solidna Spółka z ograniczoną odpowiedzialnością,"Dąbrowskiego 124, 32-600 Oświęcim",doradztwo inwestycyjne,0000003791,1237893873,,20170411,DFI/873/2018,99050760297,Filip,,Borkowski
Instagram - Meta,"ul. Rynek 141/71, 38-400 Krosno",wykonywanie zleceń na rachunek klientów,0000003888,1237973069,248131477,13/06/2024,DFI/951/2017,66061474202,Zofia,Kamila,Jaworska
Krajowa Izba Gospodarcza SA,"ul Mickiewicza 158, 39-300 Mielec",wykonywanie zleceń na rachunek klientów,0000003985,1238052259,238210635,2021/06/08,DFI/899/2023,00301444200,Barbara,Karolina,Błaszczyk
Polskie Zakłady Lotnicze S. A.,"175, 58-100 Świdnica",przyjmowanie i przekazywanie zleceń,0000004082,1238131444,238289826,08-04-2025,DFI/475/2026,88021414202,Martyna,,Brzezińska
Hurtownia Elektryczna Wat Spółka Akcyjna,"Wojska Polskiego 12, 57-300 Kłodzko",doradztwo inwestycyjne,0000004179,1248210665,238369011,2019-28-12,DFI/412/2025,76061484204,Zofia,Kamila,Gajda
Centrum Ogrodnicze Zielona Oaza sp. z o.o.,"ul. Chrobrego 29/33, 62-200 Gniezno",doradztwo inwestycyjne,0000004276,1238289820,238448207,20241014,DFI/949/2019,64101454209,Barbara,Karolina,Michalak
Piekarnia i Cukiernia Chrupiący Rogalik sp z oo,"ul Słowiańska 46, 64-100 Leszno",zarządzanie portfelami,0000004373,1238369016,238527390,26/01/2025,DFI/232/2025,98021424204,Martyna,,Kowalska
Zakład Usług Komunalnych sp. z o. o.,"ulica Gdańska 63, 83-110 Tczew",przyjmowanie i przekazywanie zleceń,0000004470,1238448201,238606586,2023/03/10,DFI/842/2021,86061494206,Zofia,Kamila,Mazur
Polski Komfort Sp. z o.o.,"Sobieskiego 80, 84-200 Wejherowo",zarządzanie portfelami,0000004567,1238527395,238685775,15-09-2020,DFI/716/2020,74101464201,Barbara,Karolina,Witkowska
Kancelaria Radców Prawnych Partnerzy SP Z O O,"ul. Głęboka 97/85, 43-400 Cieszyn",przyjmowanie i przekazywanie zleceń,0000004664,1238606580,238764960,2017-06-12,DFI/437/2024,62021434208,Martyna,,Pietrzak
Centrum Dystrybucji Alkoholi spółka z ograniczoną odpowiedzialnością,"114, 42-500 Będzin",przyjmowanie i przekazywanie zleceń,0000004761,1248685807,238844156,20200329,DFI/479/2019,96061404208,Zofia,Kamila,Sawicka
Przedsiębiorstwo Spedycyjne Ładunek Spółka z ograniczoną odpowiedzialnością,"ulica Królowej Jadwigi 131, 88-100 Inowrocław",zarządzanie portfelami,0000004858,1238764965,238923341,04/03/2024,DFI/267/2023,84101474203,Barbara,Karolina,Malinowska
Fabryka Tekstyliów Splot S.A.,"Wybickiego 148, 86-300 Grudziądz",doradztwo inwestycyjne,0000004955,1238844150,239002531,2023/05/03,DFI/562/2019,72021444200,Martyna,,Szulc
Górnośląskie Towarzystwo Finansowe SA,"ul. Czarnieckiego 165/47, 14-100 Ostróda",wykonywanie zleceń na rachunek klientów,0000005052,1238923346,239081720,10-01-2019,DFI/725/2017,60061414202,Zofia,Kamila,Makowska
Krajowa Agencja Informacyjna S. A.,"ul Nieistniejąca 2, 99-999 Nibylandia",zarządzanie portfelami,0000005149,1239002536,239160916,2020-10-10,DFI/884/2022,94101484205,Barbara,Karolina,Klimek
Polskie Jagody Spółka Akcyjna,"ulica Lubelska 19, 24-100 Puławy",przyjmowanie i przekazywanie zleceń,0000005246,1239081725,239240101,20201212,DFI/947/2024,82021454202,Martyna,,Szatkowska
Zielony Amber sp. z o.o.,"Staszica 36, 22-400 Zamość",doradztwo inwestycyjne,0000005343,1239160910,239319297,14/09/2017,DFI/954/2020,70061424204,Zofia,Kamila,Nowacka
Niebieski Horyzont sp z oo,"53/9, 16-300 Augustów",wykonywanie zleceń na rachunek klientów,0000005440,1239240106,239398486,2025/02/08,DFI/484/2025,04301494203,Barbara,Karolina,Krawczyk
łZoty Oaza sp. z o. o.,"ul Kościuszki 70, 16-400 Suwałki",wykonywain lzeceń na rachunek klientów,0000005537,1239319291,239477671,10-03-2018,DIF/221/2021,92021464204,Martyna,,Walczak
Srebrny Zefir Sp. z o.o.,"os. Piastowska 87, 48-300 Nysa",przyjmowanie i przekazywanie zleceń,0000005634,1239398480,239556867,2018-23-07,DFI/368/2022,80061434206,Zofia,Kamila,Wójcicka
Czysty Pilica SP Z O O,"Długa 104, 49-300 Brzeg",przyjmowanie i przekazywanie zleceń,0000005731,1239477676,239636052,20220325,DFI/282/2026,68101404202,Barbara,Karolina,Dudek
P.P.H.U. Szybki Marmur,"ul. Rynek 121/61, 68-200 Żary",zarządzanie portfelami,0000005828,1239556861,239715248,19/05/2019,DFI/433/2021,02221474202,Martyna,,Pająk
Pewny Giewont Spółka z ograniczoną odpowiedzialnością,"ul Sikorskiego 138, 66-200 Świebodzin",wykonywanie zleceń na rachunek klientów,0000005925,1239636057,239794437,2017/21/07,DFI/962/2019,90061444208,Zofia,Kamila,Kozak
Dobry Sudety S.A.,"ulica Armii Krajowej 155, 78-100 Kołobrzeg",zarządzanie portfelami,0000006022,1239715242,239873622,20-12-2022,DFI/111/2021,78101414204,Barbara,Karolina,Wrona
Polski Gryf SA,"Piłsudskiego 172, 73-110 Stargard",zarządzanie portfelami,0000006119,1239794431,239952818,2023-28-03,DFI/539/2026,66021484201,Martyna,,Madej
Europejski Neon S. A.,"ul. Mickiewicza 9/23, 27-600 Sandomierz",wykonywanie zleceń na rachunek klientów,0000006216,1239873627,240032008,20230831,DFI/758/2022,00261454206,Zofia,Kamila,Bednarek
Globalny Wektor Spółka Akcyjna,"ul Sienkiewicza 26, 27-400 Ostrowiec Świętokrzyski",wykonywanie zleceń na rachunek klientów,0000006313,1239952812,240111191,02/06/2017,DFI/341/2019,88101424206,Barbara,Karolina,Wiśniewska
Lokalny Noteć sp. z o.o.,"ulica Chmielna 43, 00-020 Warszawa",doradztwo inwestycyjne,0000006410,1240032000,240190380,2020/25/10,DFI/495/2023,76021494203,Martyna,,Woźniak
Nowoczesny Granit sp z oo,"Nowy Świat 60, 00-029 Warszawa",zarządzanie portfelami,0000006507,1240111194,240269578,11-11-2017,DFI/662/2022,64061464205,Zofia,Kamila,Stępień
Tradycyjny Narcyz sp. z o. o.,"ul. os. Przyjaźń 77/75, 01-355 Warszawa",zarządzanie portfelami,0000006604,1240190383,240348763,2018-31-08,DFI/578/2026,98101434208,Barbara,Karolina,Czarnecka
Dynamiczny Bałtyk Sp. z o.o.,"ul Jagiellońska 94, 05-120 Legionowo",przyjmowanie i przekazywanie zleceń,0000006701,1240269570,240427959,20240428,DFI/725/2024,86021404205,Martyna,,Adamczyk
Stabilny Falcon SP Z O O,"ulica Piłsudskiego 111, 05-270 Marki",przyjmowanie i przekazywanie zleceń,0000006798,1240348766,240507144,15/05/2024,DFI/229/2026,74061474207,Zofia,Kamila,Szczepańska
Innowacyjny Magnolia spółka z ograniczoną odpowiedzialnością,"Andriollego 128, 05-400 Otwock",doradztwo inwestycyjne,0000006895,1240427951,240586333,2025/14/08,DFI/966/2018,62101444202,Barbara,Karolina,Cieślak
Kreatywny Uran Spółka z ograniczoną odpowiedzialnością,"ul. Żeromskiego 145/37, 26-600 Radom",przyjmowanie i przekazywanie zleceń,0000006992,1240507147,240665529,24-06-2020,DFI/328/2019,96021414207,Martyna,,Bąk
Aktywny Barycz S.A.,"ul Tumska 162, 09-402 Płock",przyjmowanie i przekazywanie zleceń,0000007089,1240586336,240744714,2023-05-11,DFI/290/2024,84061484209,Zofia,Kamila,Krupa
Jasny Topaz SA,"ulica Karmelicka 179, 31-128 Kraków",zarządzanie portfelami,0000007186,1240665521,250823937,20210205,DFI/278/2021,72101454204,Barbara,Karolina,Podgórska
Green Krokus S. A.,"os. Na Stoku 16, 31-704 Kraków",przyjmowanie i przekazywanie zleceń,0000007283,1240744717,240903093,27/03/2022,DFI/936/2023,60021424201,Martyna,,Wójcik
Blue Karpaty Spółka Akcyjna,"ul. Krupówki 33/89, 34-500 Zakopane",doradztwo inwestycyjne,0000007380,1240823902,240982282,2019/15/06,DFI/181/2026,94061494201,Zofia,Kamila,Jankowska
Gold Echo sp. z o.o.,"50, 34-600 Mordarka",zarządzanie portfelami,0000007477,1240903096,241061472,17-06-2022,DFI/574/2022,82101464206,Barbara,Karolina,Baran
Silver Lotos sp z oo,"ulica Galicyjska 67, 32-087 Zielonki",zarządzanie portfelami,0000007574,1240982285,241140668,2023-09-07,DFI/474/2023,70021434203,Martyna,,Lis
Smart Tytan sp. z o. o.,"84, 32-003 Podłęże",zarządzanie portfelami,0000007671,1241061475,241219855,20220603,DFI/451/2019,04261404209,Zofia,Kamila,Pawłowska
mBank,"ul. Wałowa 101/51, 33-100 Tarnów",doradztwo inwestycyjne,0000007768,1241140660,241299044,31/12/2019,DFI/317/2025,92101474208,Barbara,Karolina,Czerwińska
Safe Szmaragd SP Z O O,"ul Narutowicza 118, 90-135 Łódź",zarządzanie portfelami,0000007865,1241219858,251378267,2017/12/07,DFI/831/2024,80021444205,Martyna,,Andrzejewska
Best Zorza spółka z ograniczoną odpowiedzialnością,"ulica os. Retkinia 135, 94-004 Łódź",zarządzanie portfelami,0000007962,1241299047,241457425,13/05/2017 01:49,DFI/156/2017,68061414208,Zofia,Kamila,Kucharska
Global Bieszczady Spółka z ograniczoną odpowiedzialnością,"Zamkowa 152, 95-200",przyjmowanie i przekazywanie zleceń,0000008059,1241378232,241536610,2017-11-08,DFI/715/2020,02301484206,Barbara,Karolina,Kaczmarczyk
Future Delfin S.A.,"ul. Długa 169/13, 95-100 Zgierz",przyjmowanie i przekazywanie zleceń,0000008156,1241457428,241615806,20171221,DFI/954/2023,90021454207,Martyna,,Śliwińska
Wielkopolski Koral SA,"ul Rynek 6, 50-101 Wrocław",zarządzanie portfelami,0000008253,1241536613,241694993,21/12/2020,DFI/775/2025,78061424200,Zofia,Kamila,Kowalczyk
Śląski Szafir S. A.,"ulica Jedności Narodowej 23, 50-260 Wrocław",zarządzanie portfelami,0000008350,1241615809,241774189,2020/18/10,DFI/940/2021,66101494205,Barbara,Karolina,Grabowska
Mazowiecki Orzeł Spółka Akcyjna,"os. Konstytucji 3 Maja 40, 58-540 Karpacz",przyjmowanie i przekazywanie zleceń,0000008447,1241694996,241853374,26-08-2021,DFI/160/2022,00221464205,Martyna,,Rutkowska
Pomorski Kaktus sp. z o.o.,"ul. Odrodzenia 57/65, 59-300 Lubin",zarządzanie portfelami,0000008544,,251932597,2018-20-09,DFI/624/2025,88061434202,Zofia,Kamila,Kołodziej
Dolnośląski Olimp sp z oo,"ul Słowackiego 74, 58-300 Wałbrzych",doradztwo inwestycyjne,0000008641,1241853377,252011787,20251017,DFI/589/2026,76101404207,Barbara,Karolina,Nowicka
Karpacki Beskid sp. z o. o.,"ulica Półwiejska 91, 61-888 Poznań",wykonywanie zleceń na rachunek klientów,0000008738,1241932562,242090949,18/11/2021,DFI/989/2023,64021474204,Martyna,,Kubiak
Bałtycki Canyon Sp. z o.o.,"os. Bolesława Chrobrego 108, 60-681 Poznań",zarządzanie portfelami,0000008835,1242011752,242170134,2019/11/01,DFI/513/2023,98061444204,Zofia,Kamila,Gajewska
Młody Jantar SP Z O O,"ul. Główny Rynek 125/27, 62-800 Kalisz",przyjmowanie i przekazywanie zleceń,0000008932,1242090941,242249321,29-08-2024,DFI/565/2020,86101414209,Barbara,Karolina,Lisowska
Wspólny Rubin spółka z ograniczoną odpowiedzialnością,"ul Kaliska 142, 63-400 Ostrów Wielkopolski",doradztwo inwestycyjne,0000009029,1242170137,242328517,2024-23-04,DFI/830/2022,74021484206,Martyna,,Wrona
Pierwszy Sokół Spółka z ograniczoną odpowiedzialnością,"ulica Ogarna 159, 80-826 Gdańsk",zarządzanie portfelami,0000009126,1242249324,242407702,20230115,DFI/832/2020,62061454208,Zofia,Kamila,Czajkowska
Zielony Lotos S.A.,"os. Jasień 176, 80-180 Gdańsk",zarządzanie portfelami,0000009223,1252328545,252486929,16/01/2017,DFI/322/2024,96101424201,Barbara,Karolina,Kamińska
Niebieski Tytan SA,"ul. Bohaterów Monte Cassino 13/79, 81-759 Sopot",zarządzanie portfelami,0000009320,1242407705,242566085,2020/15/11,DFI/268/2019,84021494208,Martyna,,Pawlak
Złoty Kormoran S. A.,"30, 80-209 Chwaszczyno",doradztwo inwestycyjne,0000009417,1242486892,242645270,04-01-2022,DFI/791/2026,72061464200,Zofia,Kamila,Górska
Srebrny Szmaragd Spółka Akcyjna,"ulica 3 Maja 47, 40-096 Katowice",zarządzanie portfelami,0000009514,1242566088,242724466,2019-16-03,DFI/295/2020,60101434205,Barbara,Karolina,Kaczmarek
Czysty Zorza sp. z o.o.,"os. Paderewskiego 64, 40-282 Katowice",doradztwo inwestycyjne,0000009611,1242645273,242803651,20240416,DFI/333/2024,94021404200,Martyna,,Sokołowska
PPHU Szybki Bieszczady,"ul. Zwycięstwa 81/41, 44-100 Gliwice",doradztwo inwestycyjne,0000009708,1242724469,242882840,28/05/2018,DFI/462/2020,82061474202,Zofia,Kamila,Wilk
Pewny Delfin sp. z o. o.,ul Bocheńskiego 98,zarządzanie portfelami,0000009805,1242803654,242962036,2022/16/04,DFI/906/2018,70101444207,Barbara,Karolina,Laskowska
Dobry Koral Sp. z o.o.,"ulica Najświętszej Maryi Panny 115, 42-200 Częstochowa",wykonywanie zleceń na rachunek klientów,0000009902,1242882843,243041226,01-12-2022,DFI/144/2022,04221414208,Martyna,,Słowik
Polski Szafir SP Z O O,"11 Listopada 132, 43-300 Bielsko-Biała",zarządzanie portfelami,0000009999,1242962039,243120411,2025-10-07,DFI/112/2021,92061484204,Zofia,Kamila,Wasilewska
Europejski Orzeł spółka z ograniczoną odpowiedzialnością,"149/3, 36-047 Niechobrz",przyjmowanie i przekazywanie zleceń,0000010096,1243041229,243199602,20240325,DFI/231/2017,80101454209,Barbara,Karolina,Biernat
Globalny Kaktus Spółka z ograniczoną odpowiedzialnością,"ul Franciszkańska 166, 37-700 Przemyśl",wykonywanie zleceń na rachunek klientów,0000010193,1243120414,243278796,22/08/2024,DFI/775/2023,68021424207,Martyna,,Lewandowska
Lokalny Olimp S.A.,"ulica Kościuszki 3, 38-500 Sanok",doradztwo inwestycyjne,0000010290,1243199605,243357981,2021/19/08,DFI/103/2026,02261494202,Zofia,Kamila,Michalska
Nowoczesny Beskid SA,"Suraska 20, 15-422 Białystok",wykonywani zleceń n rachunek klientów,0000010387,1243278799,243437177,17-08-2025,DI/506/2026,90101464201,Barbara,Karolina,Sikora
Tradycyjny Canyon S. A.,"37/55, 16-030 Ogrodniczki",przyjmowanie i przekazywanie zleceń,0000010484,1243357984,243516362,2020-26-11,DFI/149/2021,78021434209,Martyna,,Piątek
Dynamiczny Jantar Spółka Akcyjna,"ul 3 Maja 54, 17-200 Hajnówka",wykonywanie zleceń na rachunek klientów,0000010581,1253437207,243595551,20190513,DFI/199/2022,66061404201,Zofia,Kamila,Wróbel
Stabilny Rubin sp. z o.o.,"ulica os. LSM 71, 20-400 Lublin",wykonywanie zleceń na rachunek klientów,0000010678,1243516365,243674747,27/11/2024,DFI/870/2020,00301474209,Barbara,Karolina,Wysocka
Innowacyjny Sokół sp z oo,"88, 24-120 Mięćmierz",wykonywanie zleceń na rachunek klientów,0000010775,1243595554,243753932,2023/13/10,DFI/121/2020,88021444201,Martyna,,Mazurek
Kreatywny Jodełka sp. z o. o.,"ul. Brzeska 105/17, 21-500 Biała Podlaska",wykonywanie zleceń na rachunek klientów,0000010872,1253674775,243833128,03-08-2021,DFI/382/2020,76061414203,Zofia,Kamila,Kopeć
Aktywny Zodiak Sp. z o.o.,"ul Rynek Staromiejski 122, 87-100 Toruń",doradztwo inwestycyjne,0000010969,1243753935,243912313,2024-06-01,DFI/542/2026,64101484208,Barbara,Karolina,Kalinowska
Jasny Kasprowy SP Z O O,"ulica Mostowa 139, 85-110 Bydgoszcz",przyjmowanie i przekazywanie zleceń,,1243833120,243991502,20210207,DFI/765/2022,98021454203,Martyna,,Panek
Green Bizon spółka z ograniczoną odpowiedzialnością,"Stare Miasto 156, 10-026 Olsztyn",przyjmowanie i przekazywanie zleceń,0000011163,1243912316,244070690,30/11/2023,DFI/559/2021,86061424205,Zofia,Kamila,Zielińska
Blue Ikar Spółka z ograniczoną odpowiedzialnością,"os. Warszawska 173/69, 11-700 Mrągowo",przyjmowanie i przekazywanie zleceń,0000011260,1243991505,244149888,2025/17/08,DFI/762/2026,74101494200,Barbara,Karolina,Król
Gold Pegaz S.A.,"ul Wojska Polskiego 10, 70-470 Szczecin",doradztwo inwestycyjne,0000011357,1244070693,244229073,04-01-2023,DFI/153/2017,62021464207,Martyna,,Ostrowska
Silver Żubr SA,"ulica Monte Cassino 27, 72-600 Świnoujście",zarządzanie portfelami,0000011454,1244149880,244308269,2023-04-07,DFI/360/2018,96061434207,Zofia,Kamila,Sadowska
Smart Narew S. A.,"Rynek 44, Opole",wykonywanie zleceń na rachunek klientów,0000011551,1244229076,244387458,20210107,DFI/548/2025,84101404202,Barbara,Karolina,Majewska
X - Twitter,"ul. Byczyńska 61/31, 46-200 Kluczbork",doradztwo inwestycyjne,0000011648,1244308261,244466643,21/04/2021,DFI/466/2021,72021474209,Martyna,,Chmielewska
Safe Rysy sp. z o.o.,"ul Chrobrego 78, 66-400 Gorzów Wielkopolski",wykonywanie zleceń na rachunek klientów,0000011745,1244387450,244545839,2023/09/06,DFI/791/2018,60061444201,Zofia,Kamila,Sobczak
Best Amber sp z oo,"ulica 30 Stycznia 95, 66-300 Międzyrzecz",przyjmowanie i przekazywanie zleceń,0000011842,1244466646,244625024,05-02-2022,DFI/971/2019,94101414204,Barbara,Karolina,Czajka
Global Horyzont sp. z o. o.,"Paderewskiego 112, 25-004 Kielce",doradztwo inwestycyjne,0000011939,1244545831,254704247,2018-10-06,DFI/933/2018,82021484201,Martyna,,Zarychta
Future Oaza Sp. z o.o.,"ul. 1 Maja 129/83, 28-100 Busko-Zdrój",wykonywanie zleceń na rachunek klientów,0000012036,1244625027,244783409,20180123,DFI/547/2026,70061454203,Zofia,Kamila,Prus
Wielkopolski Zefir SP Z O O,"ul Marszałkowska 146, 00-590 Warszawa",przyjmowanie i przekazywanie zleceń,0000012133,1244704212,244862592,18/08/2024,DFI/576/2026,04301424202,Barbara,Karolina,Szymańska
Śląski Pilica spółka z ograniczoną odpowiedzialnością,"ulica Krakowskie Przedmieście 163, 00-071 Warszawa",zarządzanie portfelami,0000012230,1244783401,244941788,2020/18/01,DFI/532/2023,92021494203,Martyna,,Wieczorek
