name,nip,statusVat,regon,pesel,krs,residenceAddress,workingAddress,accountNumbers,hasVirtualAccounts,registrationLegalDate,removalDate
Lumen Advisory sp. z o. o.,1235834932,Wykreslony,235993312,78071924671,0000001264,"ul Wyszyńskiego 42, 70-200 Szczecin","ul Wyszyńskiego 42, 70-200 Szczecin",47850103403013111334862395,False,2021-03-24,2020-03-05
Nova Data Sp. z o.o.,1235914128,Czynny,236072502,79082026028,0000001361,"ulica Mariacka 59, 40-014 Katowice","ulica Mariacka 59, 40-014 Katowice",22013625243720396504218573,False,2015-08-02,2021-04-12
Optima Trade SP Z O O,1235993317,Czynny,236151696,80092127412,0000001458,"Warszawska 76, 40-009 Katowice","Warszawska 76, 40-009 Katowice",02403663119255574857101208,False,2023-01-03,2023-10-13
Polaris Capital spółka z ograniczoną odpowiedzialnością,1236072507,Wykreślony,236230881,81102228763,0000001555,"ul. Krakowskie Przedmieście 93/29, 20-002 Lublin","ul. Krakowskie Przedmieście 93/29, 20-002 Lublin",69 5289 3220 9564 2452 5916 2238,True,2015-08-03,
Quantum Services Spółka z ograniczoną odpowiedzialnością,1236151690,,236310077,82112330152,0000001652,"ul Narutowicza 110, 20-004 Lublin",,18883948848151237847530011,True,2025-03-16,2025-04-10
Silesia Invest S.A.,1236230886,Czynny,236389268,83122431509,0000001749,"ulica Lipowa 127, 15-424 Białystok","ulica Lipowa 127, 15-424 Białystok",54243830408237050705859496,True,2016-03-13,2021-06-28
Vistula Fintech SA,1236310071,Wykreślony,236468453,84012532890,0000001846,"Sienkiewicza 144, Białystok","Sienkiewicza 144, Białystok",86410193829779756031588842,False,2020-07-19,2020-11-08
Astra Finance S. A.,1236389262,Czynny,236547649,85022634248,0000001943,"ul. Gdańska 161/81, 85-005 Bydgoszcz","ul. Gdańska 161/81, 85-005 Bydgoszcz",16 4888 9356 7436 6465 8802 5553,False,2015-08-13,
Baltic Med Supply Spółka Akcyjna,1236468458,Czynny,236626834,86032735633,0000002040,"ul Dworcowa 178, 85-009 Bydgoszcz","ul Dworcowa 178, 85-009 Bydgoszcz",92340208575457241735020603,True,2019-11-10,2021-11-06
Helios Markets sp. z o.o.,1236547643,Czynny,236785219,87042836981,0000002137,"ulica Szeroka 15, 87-100 Toruń","ulica Szeroka 15, 87-100 Toruń",77 5848 3328 6468 6320 9514 2166,False,2015-04-22,
Lumen Advisory sp z oo,1236626839,Wykreślony,236785219,88050138373,0000002234,"Chełmińska 32, 87-100 Toruń","Chełmińska 32, 87-100 Toruń",82 7089 9889 6693 6636 9986 6976,False,2018-05-17,
Nova Data sp. z o. o.,1236706024,Czynny,236864404,89060239720,0000002331,"ul. 3 Maja 49/43, 35-030 Rzeszów","ul. 3 Maja 49/43, 35-030 Rzeszów",32785530116504621220160736,True,2025-03-21,2023-07-22
Optima Trade Sp. z o.o.,1236785213,Wykreślony,236943598,90070341118,0000002428,"ul Piłsudskiego 66, 35-074 Rzeszów","ul Piłsudskiego 66, 35-074 Rzeszów",65 9689 9458 1214 3090 7990 5139,True,2017-12-01,
Polaris Capital SP Z O O,1236864409,Czynny,237022788,91080442466,0000002525,"ulica Sienkiewicza 83, 25-007 Kielce","ulica Sienkiewicza 83, 25-007 Kielce",35 2001 1097 4381 2542 3583 6248,True,2019-12-26,
Quantum Services spółka z ograniczoną odpowiedzialnością,1236943592,Wykreślony,237101973,92090543851,0000002622,"Warszawska 100, 25-512 Kielce","Warszawska 100, 25-512 Kielce",51 7786 2727 3009 2857 7787 1352,True,2022-03-25,
Silesia Invest Spółka z ograniczoną odpowiedzialnością,1237022782,Czynny,237181162,93100645202,0000002719,"ul. Kościuszki 117/5, 10-504 Olsztyn","ul. Kościuszki 117/5, 10-504 Olsztyn",96108201602725630582958242,True,2015-01-14,2024-04-06
Vistula Fintech S.A.,1237101978,Czynny,237260358,94110746598,0000002816,"os. Dąbrowszczaków 134, 10-540 Olsztyn","os. Dąbrowszczaków 134, 10-540 Olsztyn",82112651581052138156023974,True,2021-04-17,
Astra Finance SA,1237181167,Czynny,237339545,95120847945,0000002913,"ulica Krakowska 151, 45-018 Opole","ulica Krakowska 151, 45-018 Opole",06371769247603596413660581,True,2022-09-21,
Baltic Med Supply S. A.,1237260352,Wykreślony,237418730,96010949336,0000003010,"Ozimska 168, 45-057 Opole","Ozimska 168, 45-057 Opole",45 4828 8969 1504 1449 8465 2353,False,2024-02-20,
Helios Markets Spółka Akcyjna,1237418735,Zwolniony,237577115,97021050686,0000003107,"ul. Bohaterów Westerplatte 5/57, 65-034 Zielona Góra","ul. Bohaterów Westerplatte 5/57, 65-034 Zielona Góra",10 8189 4055 1907 4577 7893 3103,False,2022-05-19,
Lumen Advisory sp. z o.o.,1237418735,Wykreślony,237577115,98031152072,0000003204,"ul Kupiecka 22, 65-058 Zielona Góra","ul Kupiecka 22, 65-058 Zielona Góra",47 1128 8962 5636 7616 7337 6862,True,2018-12-13,
Nova Data sp z oo,1237497924,Wykreślony,237656300,99041253429,0000003301,"ulica Świętojańska 39, 81-372 Gdynia","ulica Świętojańska 39, 81-372 Gdynia",69 3147 5577 5652 9756 7662 7530,False,2017-12-04,
Optima Trade sp. z o. o.,1237656305,Wykreślony,237735494,00251354819,0000003398,"10 Lutego 56, 81-364 Gdynia","10 Lutego 56, 81-364 Gdynia",17 1431 1050 1394 6574 5178 2179,True,2020-11-08,
Polaris Capital Sp. z o.o.,1237656305,Czynny,237893879,01261456168,0000003495,"ul. Bolesława Prusa 73/19, 05-800 Pruszków","ul. Bolesława Prusa 73/19, 05-800 Pruszków",53 8323 7958 5686 4421 5055 3450,True,2022-01-13,
Quantum Services SP Z O O,1237735499,Czynny,237893879,02271557553,0000003592,05-500 Piaseczno,05-500 Piaseczno,61 9019 1427 9547 7346 1071 1243,True,2021-09-16,
Silesia Invest spółka z ograniczoną odpowiedzialnością,1237814684,Czynny,237973064,03281658900,0000003689,"ulica Sienkiewicza 107, 32-020 Wieliczka","ulica Sienkiewicza 107, 32-020 Wieliczka",36190135664156966891487285,True,2016-11-17,2022-10-02
Vistula Fintech Spółka z ograniczoną odpowiedzialnością,1237893873,Zwolniony,238052254,04291760290,0000003786,"Dąbrowskiego 124, 32-600 Oświęcim","Dąbrowskiego 124, 32-600 Oświęcim",87 6058 1165 4153 1596 6560 1707,False,2018-01-21,
Astra Finance S.A.,1237973069,Czynny,238210635,05301861640,0000003883,"ul. Rynek 141/71, 38-400 Krosno","ul. Rynek 141/71, 38-400 Krosno",14424446731522305123680769,False,2023-02-06,
Baltic Med Supply SA,1238052259,Czynny,238210635,60111963032,0000003980,"ul Mickiewicza 158, 39-300 Mielec","ul Mickiewicza 158, 39-300 Mielec",90025651052963670391687079,True,2019-09-04,2026-09-05
Helios Markets S. A.,1238131444,Zwolniony,238289826,61122064389,0000004077,"175, 58-100 Świdnica","175, 58-100 Świdnica",35 5438 5229 4831 5684 5295 5323,False,2025-10-14,
Lumen Advisory Spółka Akcyjna,1238289820,Zwolniony,238369011,62012165779,0000004174,"Wojska Polskiego 12, 57-300 Kłodzko","Wojska Polskiego 12, 57-300 Kłodzko",57 8410 8709 4000 1435 5885 6310,True,2025-08-27,
Nova Data sp. z o.o.,1238289820,Zwolniony,238448207,63022267127,0000004271,"ul. Chrobrego 29/33, 62-200 Gniezno","ul. Chrobrego 29/33, 62-200 Gniezno",73 7148 2187 2862 8745 8963 8151,True,2022-10-26,
Optima Trade sp z oo,1238369016,Czynny,238527390,64032368512,0000004368,"ul Słowiańska 46, 64-100 Leszno","ul Słowiańska 46, 64-100 Leszno",97842284175870224084854883,True,2016-06-21,2024-09-28
Polaris Capital sp. z o. o.,1238448201,Czynny,238606586,65042469860,0000004465,"ulica Gdańska 63, 83-110 Tczew","ulica Gdańska 63, 83-110 Tczew",40 7660 3984 7536 8384 1341 8155,False,2023-06-04,
Quantum Services Sp. z o.o.,1238527395,Czynny,238685775,66052571259,0000004562,"Sobieskiego 80, 84-200 Wejherowo","Sobieskiego 80, 84-200 Wejherowo",25719194865260210791113297,False,2020-06-18,
Silesia Invest SP Z O O,1238606580,Wykreślony,238764960,67062672606,0000004659,"ul. Głęboka 97/85, 43-400 Cieszyn","ul. Głęboka 97/85, 43-400 Cieszyn",82 3487 5088 3862 7303 5744 1672,True,2020-06-16,
Vistula Fintech spółka z ograniczoną odpowiedzialnością,1238764965,Wykreślony,238844156,68072773992,0000004756,"114, 42-500 Będzin","114, 42-500 Będzin",99659463854206812171847506,True,2024-06-28,2022-09-26
Astra Finance Spółka z ograniczoną odpowiedzialnością,1238764965,Czynny,238923341,69082875340,0000004853,"ulica Królowej Jadwigi 131, 88-100 Inowrocław","ulica Królowej Jadwigi 131, 88-100 Inowrocław",37378645078730931665956661,False,2018-08-29,
Baltic Med Supply S.A.,1238844150,Czynny,239002531,70090176730,0000004950,"Wybickiego 148, 86-300 Grudziądz","Wybickiego 148, 86-300 Grudziądz",45332738620200028199130210,True,2019-02-22,
Helios Markets SA,1238923346,Czynny,239081720,71100278082,0000005047,"ul. Czarnieckiego 165/47, 14-100 Ostróda","ul. Czarnieckiego 165/47, 14-100 Ostróda",63563954637537244414353152,False,2023-03-21,
Lumen Advisory S. A.,1239002536,Czynny,239160916,72110379477,0000005144,"ul Nieistniejąca 2, 99-999 Nibylandia","ul Nieistniejąca 2, 99-999 Nibylandia",46 7768 6973 5256 3505 7757 5320,False,2018-11-19,
Nova Data Spółka Akcyjna,1239081725,Czynny,239240101,73120480827,0000005241,"ulica Lubelska 19, 24-100 Puławy","ulica Lubelska 19, 24-100 Puławy",28331918237210162279055664,True,2017-05-28,2026-03-13
Optima Trade sp. z o.o.,1239160910,Czynny,239319297,74010582218,0000005338,"Staszica 36, 22-400 Zamość","Staszica 36, 22-400 Zamość",91946234142231735286298255,False,2025-06-22,
Polaris Capital sp z oo,1239240106,Czynny,239398486,75020683566,0000005435,"53/9, 16-300 Augustów","53/9, 16-300 Augustów",77 4279 7270 8447 4455 5660 9553,False,2025-01-30,
Quantum Services sp. z o. o.,1239319291,Wkyreślnoy,239477671,76030784951,0000005532,"ul Kościuszki 70, 16-400 Suwałki","ul Kościuszki 70, 16-400 Suwałki",74 9603 8320 3304 4933 5205 3129,True,2023-03-15,
Silesia Invest Sp. z o.o.,1239398480,Czynny,239556867,77040886309,0000005629,"os. Piastowska 87, 48-300 Nysa","os. Piastowska 87, 48-300 Nysa",17 4565 4833 6115 5248 2621 3897,True,2024-03-29,
Vistula Fintech SP Z O O,1239477676,Czynny,239636052,88050987695,0000005726,"Długa 104, 49-300 Brzeg","Długa 104, 49-300 Brzeg",63559782244445277607572597,True,2022-06-22,2021-07-01
Astra Finance spółka z ograniczoną odpowiedzialnością,1239556861,Zwolniony,239715248,79061089042,0000005823,"ul. Rynek 121/61, 68-200 Żary","ul. Rynek 121/61, 68-200 Żary",36 2442 8110 1806 1824 6489 3219,True,2024-12-24,
Baltic Med Supply Spółka z ograniczoną odpowiedzialnością,1239636057,Czynny,239794437,80071190439,0000005920,"ul Sikorskiego 138, 66-200 Świebodzin","ul Sikorskiego 138, 66-200 Świebodzin",68170234918999794215552758,False,2022-12-11,2025-01-13
Helios Markets S.A.,1239715242,Czynny,239873622,81081291787,0000006017,"ulica Armii Krajowej 155, 78-100 Kołobrzeg","ulica Armii Krajowej 155, 78-100 Kołobrzeg",50 9488 9790 1944 9290 5300 3201,False,2016-11-28,
Lumen Advisory SA,1239794431,Czynny,239952818,82091393173,0000006114,"Piłsudskiego 172, 73-110 Stargard","Piłsudskiego 172, 73-110 Stargard",34638020113682312261481152,True,2022-06-04,2026-08-13
Nova Data S. A.,1239873627,Wykreślony,240032008,83101494523,0000006211,"ul. Mickiewicza 9/23, 27-600 Sandomierz","ul. Mickiewicza 9/23, 27-600 Sandomierz",63 3719 7156 1422 5574 9175 8254,False,2019-02-20,
Optima Trade Spółka Akcyjna,1239952812,Czynny,240111191,84111595918,0000006308,"ul Sienkiewicza 26, 27-400 Ostrowiec Świętokrzyski","ul Sienkiewicza 26, 27-400 Ostrowiec Świętokrzyski",89861186576030950528392644,True,2022-08-22,2024-10-17
Polaris Capital sp. z o.o.,1240032000,Wykreślony,240190380,85121697267,0000006405,"ulica Marszałkowska 43, 00-590 Warszawa","ulica Marszałkowska 43, 00-590 Warszawa",77057403208971067722722685,True,2023-08-10,
Quantum Services sp z oo,1240111194,Zwolniony,240269578,86011798657,0000006502,"Krakowskie Przedmieście 60, 00-071 Warszawa","Krakowskie Przedmieście 60, 00-071 Warszawa",46 6764 3592 3744 7679 7233 3894,False,2023-08-25,
Silesia Invest sp. z o. o.,1240190383,Czynny,240348763,87021800008,0000006599,"ul. Floriańska 77/75, 31-019 Kraków","ul. Floriańska 77/75, 31-019 Kraków",02924480679215350596702581,True,2020-10-10,2026-07-28
Vistula Fintech Sp. z o.o.,1240269570,Czynny,240427959,88031901394,0000006696,"ul Długa 94, 31-147 Kraków","ul Długa 94, 31-147 Kraków",99089058445101873169551369,False,2021-02-23,
Astra Finance SP Z O O,1240348766,Wykreślony,240507144,89042002740,0000006793,"ulica Piotrkowska 111, 90-102 Łódź","ulica Piotrkowska 111, 90-102 Łódź",61755593946058186960480713,True,2021-01-22,2023-11-26
Baltic Med Supply spółka z ograniczoną odpowiedzialnością,2240427951,Czynny,240586333,90052104135,0000006890,"Zachodnia 128, 90-402 Łódź","Zachodnia 128, 90-402 Łódź",04100821615474771190136680,False,2022-09-23,2024-03-08
Helios Markets Spółka z ograniczoną odpowiedzialnością,1240507147,Czynny,240665529,91062205483,0000006987,"ul. Świdnicka 145/37, 50-066 Wrocław","ul. Świdnicka 145/37, 50-066 Wrocław",20674295558925347197511309,False,2016-04-26,
Lumen Advisory S.A.,1240586336,Wykreślony,240744714,92072306878,0000007084,"ul Legnicka 162, 54-203 Wrocław","ul Legnicka 162, 54-203 Wrocław",96 5145 1341 5435 3263 3316 5466,True,2025-01-14,
Nova Data SA,1240665521,Czynny,240903093,93082408226,0000007181,"ulica Święty Marcin 179, 61-806 Poznań","ulica Święty Marcin 179, 61-806 Poznań",91 8896 7598 1976 1090 2487 8812,False,2025-07-04,
Optima Trade S. A.,1240744717,Czynny,240903093,94092509611,0000007278,"Głogowska 16, 60-734 Poznań","Głogowska 16, 60-734 Poznań",29317443034950499440857187,False,2025-04-30,
Polaris Capital Spółka Akcyjna,1240823902,Zwolniony,240982282,95102610965,0000007375,"ul. Długa 33/89, 80-831 Gdańsk","ul. Długa 33/89, 80-831 Gdańsk",93 2882 3508 3276 7219 9217 8958,True,2019-10-28,
Quantum Services sp. z o.o.,1240903096,Czynny,241061472,96112712351,0000007472,"ul Grunwaldzka 50, 80-236 Gdańsk","ul Grunwaldzka 50, 80-236 Gdańsk",99 8082 6553 7405 7733 6346 6368,False,2023-11-28,
Silesia Invest sp z oo,1240982285,Wykreślony,241140668,97122813708,0000007569,"ulica Jagiellońska 67, 70-435 Szczecin","ulica Jagiellońska 67, 70-435 Szczecin",48281021908976505416990014,False,2024-01-18,
Vistula Fintech sp. z o. o.,1241061475,Zwolniony,241219855,98010115096,0000007666,"Wyszyńskiego 84, 70-200 Szczecin","Wyszyńskiego 84, 70-200 Szczecin",73 1437 7251 3844 6935 8251 8924,False,2018-06-21,
Astra Finance Sp. z o.o.,1241140660,Wykreślony,241299044,99020216443,0000007763,"ul. Mariacka 101/51, 40-014 Katowice","ul. Mariacka 101/51, 40-014 Katowice",65 2301 1010 8091 1220 4239 7000,True,2022-09-03,
Baltic Med Supply SP Z O O,1241219858,Wykreślony,241457425,00230317833,0000007860,"ul Warszawska 118, 40-009 Katowice","ul Warszawska 118, 40-009 Katowice",20229416686617030795651206,True,2025-06-25,2023-04-20
Helios Markets spółka z ograniczoną odpowiedzialnością,1241299047,Wykreślony,241457425,01240419182,0000007957,"ulica Krakowskie Przedmieście 135, 20-002 Lublin","ulica Krakowskie Przedmieście 135, 20-002 Lublin",26 2399 6551 2838 7620 3194 9893,False,2018-10-19,
Lumen Advisory Spółka z ograniczoną odpowiedzialnością,1241378232,Zwolniony,241536610,02250520570,0000008054,"Narutowicza 152, 20-004","Narutowicza 152, 20-004",82 2595 4681 5365 8187 2300 2254,True,2015-12-30,
Nova Data S.A.,1241457428,Zwolniony,241615806,03260621927,0000008151,"ul. Lipowa 169/13, 15-424 Białystok","ul. Lipowa 169/13, 15-424 Białystok",28 8880 3064 2404 5535 1429 8219,True,2023-04-23,
Optima Trade SA,1241536613,Czynny,241694993,04270723313,0000008248,"ul Sienkiewicza 6, 15-092 Białystok","ul Sienkiewicza 6, 15-092 Białystok",35219464533238690069684477,True,2020-04-15,
Polaris Capital S. A.,1241615809,Wykreślony,241774189,05280824661,0000008345,"ulica Gdańska 23, 85-005 Bydgoszcz","ulica Gdańska 23, 85-005 Bydgoszcz",38 8025 8810 5468 1469 3929 2288,True,2023-07-10,
Quantum Services Spółka Akcyjna,1241694996,Czynny,241853374,60090926053,0000008442,"os. Dworcowa 40, 85-009 Bydgoszcz","os. Dworcowa 40, 85-009 Bydgoszcz",72284082543517544876775522,False,2021-05-17,
Silesia Invest sp. z o.o.,,Czynny,242090949,61101027402,0000008539,"ul. Szeroka 57/65, 87-100 Toruń","ul. Szeroka 57/65, 87-100 Toruń",20684139347379931739297210,True,2024-06-28,2025-12-11
Vistula Fintech sp z oo,1241853377,Wykreślony,342090949,62111128798,0000008636,"ul Chełmińska 74, 87-100 Toruń","ul Chełmińska 74, 87-100 Toruń",57174787384995597817395527,False,2024-09-30,2024-08-21
Astra Finance sp. z o. o.,1241932562,Czynny,242090949,63121230149,0000008733,"ulica 3 Maja 91, 35-030 Rzeszów","ulica 3 Maja 91, 35-030 Rzeszów",06128949487563584723139023,False,2019-09-03,
Baltic Med Supply Sp. z o.o.,1242011752,Czynny,242170134,64011331539,0000008830,"Piłsudskiego 108, 35-074 Rzeszów","Piłsudskiego 108, 35-074 Rzeszów",44732616685724800335230298,True,2019-04-24,2025-10-26
Helios Markets SP Z O O,1242090941,Czynny,242249321,65021432887,0000008927,"ul. Sienkiewicza 125/27, 25-007 Kielce","ul. Sienkiewicza 125/27, 25-007 Kielce",22 7061 5233 7676 1693 6643 3949,False,2018-12-20,
Lumen Advisory spółka z ograniczoną odpowiedzialnością,1242170137,Wykreślony,242328517,66031534273,0000009024,"ul Warszawska 142, 25-512 Kielce","ul Warszawska 142, 25-512 Kielce",39792053444535653384244136,True,2024-02-11,2026-06-21
Nova Data Spółka z ograniczoną odpowiedzialnością,1242249324,Czynny,242407702,67041635620,0000009121,"ulica Kościuszki 159, 10-504 Olsztyn","ulica Kościuszki 159, 10-504 Olsztyn",32900424536983715809962464,False,2019-06-01,
Optima Trade S.A.,1242407705,Czynny,242566085,68051737016,0000009218,"Dąbrowszczaków 176, 10-540 Olsztyn","Dąbrowszczaków 176, 10-540 Olsztyn",02514786631393229259072490,False,2015-02-16,
Polaris Capital SA,1242407705,Wykreślony,242566085,69061838364,0000009315,"ul. Krakowska 13/79, 45-018 Opole","ul. Krakowska 13/79, 45-018 Opole",81709638469042688673857908,False,2019-10-18,
Quantum Services S. A.,1242486892,Wykreślony,242645270,70071939758,0000009412,"ul Ozimska 30, 45-057 Opole","ul Ozimska 30, 45-057 Opole",06922131195708448192496904,True,2021-02-11,
Silesia Invest Spółka Akcyjna,1242566088,Wykreślony,242724466,71082041108,0000009509,"ulica Bohaterów Westerplatte 47, 65-034 Zielona Góra","ulica Bohaterów Westerplatte 47, 65-034 Zielona Góra",76266814439892730249544777,False,2017-04-04,
Vistula Fintech sp. z o.o.,1242645273,Wykreślony,242803651,72092142494,0000009606,"Kupiecka 64, 65-058 Zielona Góra","Kupiecka 64, 65-058 Zielona Góra",79 7205 7091 3870 3075 5815 6028,True,2016-02-09,
Astra Finance sp z oo,1242724469,Wykreślony,242882840,73102243844,0000009703,"ul. Świętojańska 81/41, 81-372 Gdynia","ul. Świętojańska 81/41, 81-372 Gdynia",42 4776 7407 4938 6962 2234 6635,True,2018-02-01,
Baltic Med Supply sp. z o. o.,1242803654,Czynny,242962036,74112345230,0000009800,ul 10 Lutego 98,ul 10 Lutego 98,85933161882241401152780367,True,2016-01-22,
Helios Markets Sp. z o.o.,1242882843,Czynny,243041226,75122446588,0000009897,"ulica Bolesława Prusa 115, 05-800 Pruszków","ulica Bolesława Prusa 115, 05-800 Pruszków",86752659990606625830354175,False,2021-09-24,2026-05-12
Lumen Advisory SP Z O O,1242962039,Czynny,243120411,76012547978,0000009994,"Kościuszki 132, 05-500 Piaseczno","Kościuszki 132, 05-500 Piaseczno",96023753468842729044822717,False,2017-05-29,
Nova Data spółka z ograniczoną odpowiedzialnością,1243041229,Zwolniony,243199602,77022649326,0000010091,"ul. Sienkiewicza 149/3, 32-020 Wieliczka","ul. Sienkiewicza 149/3, 32-020 Wieliczka",37 8227 9151 5976 5618 1563 1723,True,2020-07-13,
Optima Trade Spółka z ograniczoną odpowiedzialnością,1243120414,Czynny,243278796,78032750714,0000010188,"ul Dąbrowskiego 166, 32-600 Oświęcim","ul Dąbrowskiego 166, 32-600 Oświęcim",86779968859685503289438305,False,2024-07-28,
Polaris Capital S.A.,1243199605,Wykreślony,,79042852063,0000010285,"ulica Rynek 3, 38-400 Krosno","ulica Rynek 3, 38-400 Krosno",44 8796 1559 8862 4744 9641 8181,True,2015-04-19,
Quantum eSrvices SA,1243278799,Cyznn,243437177,80050153453,0000010382,"Mickiewicza 20, 39-300 Mielec","Mickiewicza 20, 39-300 Mielec",83380983435618519750472986,True,2021-10-10,
Silesia Invest S. A.,1243357984,Czynny,243516362,81060254800,0000010479,"ul. Długa 37/55, 58-100 Świdnica","ul. Długa 37/55, 58-100 Świdnica",46565713819779761895464071,True,2020-10-11,2024-01-26
Vistula Fintech Spółka Akcyjna,1243516365,Zwolniony,243595551,82070356197,0000010576,"ul Wojska Polskiego 54, 57-300 Kłodzko","ul Wojska Polskiego 54, 57-300 Kłodzko",65 8330 8185 6802 9664 5176 9997,False,2018-04-09,
Astra Finance sp. z o.o.,1243516365,Wykreślony,243674747,83080457544,0000010673,"ulica Chrobrego 71, 62-200 Gniezno","ulica Chrobrego 71, 62-200 Gniezno",35 8961 9161 6172 2780 2792 4364,True,2023-11-26,
Baltic Med Supply sp z oo,1243595554,Zwolniony,243753932,84090558939,0000010770,"Słowiańska 88, 64-100 Leszno","Słowiańska 88, 64-100 Leszno",43 2645 4639 7633 3561 9380 7751,False,2015-10-03,
Helios Markets sp. z o. o.,1243753935,Wykreślony,243833128,85100660284,0000010867,"105/17, 83-110 Tczew","105/17, 83-110 Tczew",42 9795 8042 6512 5171 9190 1427,False,2017-04-25,
Lumen Advisory Sp. z o.o.,1243753935,Czynny,243912313,86110761679,0000010964,"ul Sobieskiego 122, 84-200 Wejherowo","ul Sobieskiego 122, 84-200 Wejherowo",19 1006 8480 4093 4368 4341 5572,True,2017-03-19,
Nova Data SP Z O O,1243833120,Wykreślony,243991502,87120863027,0000011061,"ulica Głęboka 139, 43-400 Cieszyn","ulica Głęboka 139, 43-400 Cieszyn",01922992128248587963657963,False,2017-03-03,
Optima Trade spółka z ograniczoną odpowiedzialnością,1243912316,Czynny,244070690,88010964417,0000011158,"Małachowskiego 156, 42-500 Będzin","Małachowskiego 156, 42-500 Będzin",04327899191892167249319636,True,2023-05-26,2022-08-20
Polaris Capital Spółka z ograniczoną odpowiedzialnością,1243991505,Zwolniony,244149888,89021065764,0000011255,"os. Królowej Jadwigi 173/69, 88-100 Inowrocław","os. Królowej Jadwigi 173/69, 88-100 Inowrocław",33 8711 7437 5062 4622 3078 2183,False,2019-07-17,
Quantum Services S.A.,1244070693,Zwolniony,244229073,90031167159,0000011352,"ul Wybickiego 10, 86-300 Grudziądz","ul Wybickiego 10, 86-300 Grudziądz",26 6981 2908 8961 1068 6748 9860,True,2015-06-14,
Silesia Invest SA,1244149880,Czynny,244308269,91041268506,0000011449,"ulica Czarnieckiego 27, 14-100 Ostróda","ulica Czarnieckiego 27, 14-100 Ostróda",84 9427 9684 9006 4061 1382 5593,False,2021-10-27,
Vistula Fintech S. A.,1244229076,Czynny,244387458,92051369892,0000011546,"44, Giżycko","44, Giżycko",32531215644135530625764487,False,2023-03-21,
Astra Finance Spółka Akcyjna,1244308261,Zwolniony,244466643,93061471243,0000011643,"ul. Lubelska 61/31, 24-100 Puławy","ul. Lubelska 61/31, 24-100 Puławy",41 6733 7021 8761 7357 3471 7294,False,2021-01-06,
Baltic Med Supply sp. z o.o.,1244387450,Wykreślony,244545839,94071572638,0000011740,"ul Staszica 78, 22-400 Zamość","ul Staszica 78, 22-400 Zamość",80071522130426450448238687,True,2021-07-12,2023-12-25
