firma.id,firma.nazwa,firma.skroconaNazwa,firma.wlasciciel.imie,firma.wlasciciel.drugieImie,firma.wlasciciel.nazwisko,firma.wlasciciel.pesel,firma.nip,firma.regon,firma.dataRozpoczeciaDzialalnosci,firma.dataZawieszeniaDzialalnosci,firma.dataWznowieniaDzialalnosci,firma.przewazajacePKD,firma.adresDzialalnosci,firma.adresKorespondencyjny,firma.telefon,firma.email,firma.www
FIRMAID-00013,Gdańska Stocznia Jachtowa sp z oo,Gdańska Stocznia Jachtowa,Marta,,Woźniak,72021423289,1235755747,,2020-06-12,,2021-05-10,62.01.Z,"ul. Jagiellońska 25/67, 70-435 Szczecin","ul. Jagiellońska 25/67, 70-435 Szczecin",783 640 033,marta.wozniak@interia.pl,
FIRMAID-00014,Wytwórnia Makaronu Jajecznego sp. z o. o.,Wytwórnia Makaronu Jajecznego,Łukasz,Artur,Jankowski,73032124675,1235834932,,2024-07-31,2024-04-05,03/07/2024,64.19.Z,"ul Wyszyńskiego 42, 70-200 Szczecin","ul Wyszyńskiego 42, 70-200 Szczecin",(48) 568190579,l.jankowski@o2.pl,https://www.wytwornia-makaronu-jajecznego-group.eu
FIRMAID-00015,Zakłady Mięsne Tradycja Sp. z o.o.,Zakłady Mięsne Tradycja,Paulina,Iwona,Grabowska,74042826025,1235914128,,2023-04-05,2025-09-10,,70.22.Z,"ulica Mariacka 59, 40-014 Katowice","ulica Mariacka 59, 40-014 Katowice",(48) 654551769,grabowska.paulina@proton.me,https://www.zaklady-miesne-tradycja-group.local
FIRMAID-00016,Spółdzielnia Mleczarska Radomsko SP Z O O,Spółdzielnia Mleczarska Radomsko,Mateusz,,Pawlak,75050727418,1235993317,,2016-11-25,,2022-09-08,70.22.Z,"Warszawska 76, 40-009 Katowice","Warszawska 76, 40-009 Katowice",+48 543 737 124,mateuszpawlak@yahoo.com,https://www.spoldzielnia-mleczarska-radomsko.pl
FIRMAID-00017,Kancelaria Finansowo-Księgowa Bilans spółka z ograniczoną odpowiedzialnością,Kancelaria Finansowo-Księgowa Bilans,Elżbieta,Renata,Michalska,76061428767,1236072507,,2014-07-12,2021-12-03,,43.22.Z,"ul. Krakowskie Przedmieście 93/29, 20-002 Lublin","ul. Krakowskie Przedmieście 93/29, 20-002 Lublin",650958018,elzbieta_michalska@gmail.com,https://kancelaria-finansowo-ksiegowa-bilans.com.pl
FIRMAID-00018,Zarząd Nieruchomości Komercyjnych Spółka z ograniczoną odpowiedzialnością,Zarząd Nieruchomości Komercyjnych,Dawid,Maciej,,77072130157,1236151690,,,,,43.22.Z,"ul Narutowicza 110, 20-004 Lublin","ul Narutowicza 110, 20-004 Lublin",48-624-824-398,dawid.krol87@outlook.com,https://www.zarzad-nieruchomosci-komercyjnych-group.eu
FIRMAID-00019,Polskie Linie Oceaniczne S.A.,Polskie Linie Oceaniczne,Dorota,,Wieczorek,78082831506,1236230886,,2022-05-25,2025-01-16,,70.22.Z,"ulica Lipowa 127, 15-424 Białystok","ulica Lipowa 127, 15-424 Białystok",741 678 246,dorota.wieczorek@wp.pl,
FIRMAID-00020,Hurtownia Materiałów Budowlanych Cegiełka SA,Hurtownia Materiałów Budowlanych Cegiełka,Dariusz,Zbigniew,Jabłoński,79090732890,1236310071,,2013-02-02,2021-03-16,,70.22.Z,"Sienkiewicza 144, Białystok","Sienkiewicza 144, Białystok",(48) 739997998,d.jablonski@onet.pl,https://www.hurtownia-materialow-budowlanych-cegielka-group.pl
FIRMAID-00021,PPHU Studio Projektowe Architektura,PPHU Studio Projektowe Architektura,Beata,Patrycja,Witkowska,80101434241,1236389262,,2014-02-18,,,64.19.Z,"ul. Gdańska 161/81, 85-005 Bydgoszcz","ul. Gdańska 161/81, 85-005 Bydgoszcz",(48) 534569318,witkowska.beata@interia.pl,https://www.studio-projektowe-architektura.com.pl
FIRMAID-00022,Centrum Medycyny Pracy Spółka Akcyjna,Centrum Medycyny Pracy,Sławomir,,Walczak,81112135637,1236468458,,2011-08-10,2022-09-06,2026-03-23,43.22.Z,"ul Dworcowa 178, 85-009 Bydgoszcz","ul Dworcowa 178, 85-009 Bydgoszcz",674 138 360,slawomirwalczak@o2.pl,https://centrum-medycyny-pracy.eu
FIRMAID-00023,Przedsiębiorstwo Energetyki Cieplnej sp. z o.o.,Przedsiębiorstwo Energetyki Cieplnej,Urszula,Wiktoria,Stępień,82122836987,1236547643,,2019-07-25,2023-02-20,2022-10-16,66.22.Z,"ulica Szeroka 15, 87-100 Toruń","ulica Szeroka 15, 87-100 Toruń",505589705,urszula_stepien@proton.me,https://www.przedsiebiorstwo-energetyki-cieplnej-group.local
FIRMAID-00024,Gospodarstwo Rolno-Ogrodnicze sp z oo,Gospodarstwo Rolno-Ogrodnicze,Mariusz,Jacek,Baran,83010738376,1236626839,,2011-10-07,2023-10-28,,62.01.Z,"Chełmińska 32, 87-100 Toruń","Chełmińska 32, 87-100 Toruń",775668736,mariusz.baran93@yahoo.com,https://www.gospodarstwo-rolno-ogrodnicze-group.pl
FIRMAID-00025,Drukarnia Wielkoformatowa Impress sp. z o. o.,Drukarnia Wielkoformatowa Impress,Izabela,,Rutkowska,84021439724,1236706024,,2011-02-28,,2024-08-14,64.19.Z,"ul. 3 Maja 49/43, 35-030 Rzeszów","ul. 3 Maja 49/43, 35-030 Rzeszów",48-663-413-803,izabela.rutkowska@gmail.com,
FIRMAID-00026,Klub Fitness Sylwetka Sp. z o.o.,Klub Fitness Sylwetka,Henryk,Przemysław,Górski,85032141114,1236785213,,2015-11-07,2025-05-01,,43.22.Z,"ul Piłsudskiego 66, 35-074 Rzeszów","ul Piłsudskiego 66, 35-074 Rzeszów",+48 760 870 632,h.gorski@outlook.com,https://www.klub-fitness-sylwetka.eu
FIRMAID-00027,Polska Grupa Energetyczna SP Z O O,Polska Grupa Energetyczna,Weronika,Kinga,Sikora,86042842464,1236864409,,2015-02-21,,,43.22.Z,"ulica Sienkiewicza 83, 25-007 Kielce","ulica Sienkiewicza 83, 25-007 Kielce",(48) 760539030,sikora.weronika@wp.pl,https://polska-grupa-energetyczna.local
FIRMAID-00028,Mazowieckie Zakłady Drobiarskie spółka z ograniczoną odpowiedzialnością,Mazowieckie Zakłady Drobiarskie,Stanisław,,Ostrowski,87050743857,1236943592,,2011-09-15,2022-05-13,2022-10-28,43.22.Z,"Warszawska 100, 25-512 Kielce","Warszawska 100, 25-512 Kielce",48-668-508-929,stanislawostrowski@onet.pl,https://www.mazowieckie-zaklady-drobiarskie-group.pl
FIRMAID-00029,Hurtownia Farmaceutyczna Aptekarz Spółka z ograniczoną odpowiedzialnością,Hurtownia Farmaceutyczna Aptekarz,Zofia,Kamila,Tomaszewska,88061445206,1237022782,,2015-07-03,2023-09-27,2025-09-19,62.01.Z,"ul. Kościuszki 117/5, 10-504 Olsztyn","ul. Kościuszki 117/5, 10-504 Olsztyn",547 684 112,zofia_tomaszewska@interia.pl,https://www.hurtownia-farmaceutyczna-aptekarz-group.com.pl
FIRMAID-00030,Kancelaria Notarialna Lex S.A.,Kancelaria Notarialna Lex,Bartłomiej,Daniel,Zając,89072146593,1237101978,,2019-07-29,,,62.01.Z,"os. Dąbrowszczaków 134, 10-540 Olsztyn","os. Dąbrowszczaków 134, 10-540 Olsztyn",(48) 781608833,bartlomiej.zajac70@o2.pl,https://www.kancelaria-notarialna-lex-group.eu
FIRMAID-00031,Biuro Podróży Wojażer SA,Biuro Podróży Wojażer,Olga,,Pietrzak,90082847941,1237181167,,2018-12-21,,2025-03-07,62.01.Z,"ulica Krakowska 151, 45-018 Opole","ulica Krakowska 151, 45-018 Opole",677332961,olga.pietrzak@proton.me,
FIRMAID-00032,Szkoła Języków Obcych Lingua S. A.,Szkoła Języków Obcych Lingua,Damian,Waldemar,Wójcicki,91090749335,1237260352,,2018-11-27,,,62.01.Z,"Ozimska 168, 45-057 Opole","Ozimska 168, 45-057 Opole",760103482,d.wojcicki@yahoocom,https://szkola-jezykow-obcych-lingua.pl
FIRMAID-00033,Centrum Logistyczne Podlasie Spółka Akcyjna,Centrum Logistyczne Podlasie,Ewelina,Danuta,Czarnecka,92101450680,1247339575,,2010-09-19,07/12/2023,,64.19.Z,"ul. Bohaterów Westerplatte 5/57, 65-034 Zielona Góra","ul. Bohaterów Westerplatte 5/57, 65-034 Zielona Góra",694 973 146,czarnecka.ewelina@gmail.com,https://www.centrum-logistyczne-podlasie-group.com.pl
FIRMAID-00034,Fabryka Mebli Drewnianych Dąb sp. z o.o.,Fabryka Mebli Drewnianych Dąb,Bartosz,,Lis,93112152077,1237418735,,2018-03-31,,2024-01-09,70.22.Z,"ul Kupiecka 22, 65-058 Zielona Góra","ul Kupiecka 22, 65-058 Zielona Góra",48-617-792-243,bartoszlis@outlook.com,https://www.fabryka-mebli-drewnianych-dab-group.eu
FIRMAID-00035,Polskie Sady sp z oo,Polskie Sady,Sylwia,Aneta,Kołodziej,94122853426,1237497924,,2019-02-25,,2025/23/10,66.22.Z,"ulica Świętojańska 39, 81-372 Gdynia","ulica Świętojańska 39, 81-372 Gdynia",557 602 755,sylwia_kolodziej@wp.pl,https://www.polskiedy-group.local
FIRMAID-00036,Wielkopolska Hurtownia Stali sp. z o. o.,Wielkopolska Hurtownia Stali,Leszek,Kacper,Kaczmarek,95010754814,1247577145,,2023-09-29,,2026-12-14,70.22.Z,"10 Lutego 56, 81-364 Gdynia","10 Lutego 56, 81-364 Gdynia",(48) 626824679,leszek.kaczmarek76@onet.pl,https://www.wielkopolska-hurtownia-stali.pl
FIRMAID-00037,Zakład Oczyszczania Miasta Sp. z o.o.,Zakład Oczyszczania Miasta,Grażyna,,Piątek,96021456164,1237656305,,2013-12-07,,2024-05-23,70.22.Z,"ul. Bolesława Prusa 73/19, 05-800 Pruszków","ul. Bolesława Prusa 73/19, 05-800 Pruszków",514435681,grazyna.piatek@interia.pl,
FIRMAID-00038,Przedsiębiorstwo Wodociągów i Kanalizacji SP Z O O,Przedsiębiorstwo Wodociągów i Kanalizacji,Cezary,Szymon,Sadowski,97032157550,1237735499,,2011-03-01,,2024-03-27,70.22.Z,05-500 Piaseczno,05-500 Piaseczno,48-517-354-991,c.sadowski@o2.pl,https://www.przedsiebiorstwo-wodociagow-i-kanalizacji-group.eu
FIRMAID-00039,Instytut Badań Rynkowych spółka z ograniczoną odpowiedzialnością,Instytut Badań Rynkowych,Bożena,Oliwia,Włodarczyk,98042858909,1237814684,,2021-11-26,2020-07-28,2024-05-22,62.01.Z,"ulica Sienkiewicza 107, 32-020 Wieliczka","ulica Sienkiewicza 107, 32-020 Wieliczka",48-708-620-800,wlodarczyk.bozena@proton.me,https://www.instytut-badan-rynkowych-group.local
FIRMAID-00040,Agencja Ochrony Solidna Spółka z ograniczoną odpowiedzialnością,Agencja Ochrony Solidna,Filip,,Borkowski,99050760297,1237893873,,2020-01-09,2024-08-02,,66.22.Z,"Dąbrowskiego 124, 32-600 Oświęcim","Dąbrowskiego 124, 32-600 Oświęcim",48-743-691-441,filipborkowski@yahoo.com,https://www.agencja-ochrony-solidna-group.pl
FIRMAID-00041,Instagram - Meta,Instagram - Meta,Zuzanna,Emilia,Sawicka-Pająk,00261461640,1237973069,,2010-07-31,,,43.22.Z,"ul. Rynek 141/71, 38-400 Krosno","ul. Rynek 141/71, 38-400 Krosno",48-569-153-524,zuzanna_sawicka.pajak@gmail.com,https://www.instagram-meta.com.pl
FIRMAID-00042,Krajowa Izba Gospodarcza SA,Krajowa Izba Gospodarcza,Mikołaj,Ignacy,Dudek,01272163037,1238052259,,2017-05-19,2024-06-04,2024-05-06,70.22.Z,"ul Mickiewicza 158, 39-300 Mielec","ul Mickiewicza 158, 39-300 Mielec",(48) 746803310,mikolaj.dudek82@outlook.com,https://krajowa-izba-gospodarcza.eu
FIRMAID-00043,Polskie Zakłady Lotnicze S. A.,Polskie Zakłady Lotnicze,Lena,,Adamczyk,02282864387,1238131444,,2025-02-08,2024-08-26,2024-10-18,70.22.Z,"175, 58-100 Świdnica","175, 58-100 Świdnica",(48) 730490140,lena.adamczyk@wp.pl,
FIRMAID-00044,Hurtownia Elektryczna Wat Spółka Akcyjna,Hurtownia Elektryczna Wat,Antoni,Leon,Pawłowski,03290765770,1248210665,,2024-11-30,,,64.19.Z,"Wojska Polskiego 12, 57-300 Kłodzko","Wojska Polskiego 12, 57-300 Kłodzko",48-558-899-603,a.pawlowski@onet.pl,https://www.hurtownia-elektryczna-wat-group.pl
FIRMAID-00045,Centrum Ogrodnicze Zielona Oaza sp. z o.o.,Centrum Ogrodnicze Zielona Oaza,Hanna,Dominika,Nowicka,04301467122,1238289820,,2017-04-01,,,43.22.Z,"ul. Chrobrego 29/33, 62-200 Gniezno","ul. Chrobrego 29/33, 62-200 Gniezno",(48) 718340133,nowicka.hanna@interia.pl,https://www.centrum-ogrodnicze-zielona-oaza-group.com.pl
FIRMAID-00046,Piekarnia i Cukiernia Chrupiący Rogalik sp z oo,Piekarnia i Cukiernia Chrupiący Rogalik,Franciszek,,Sokołowski,05312168518,1238369016,,2018-08-15,,,43.22.Z,"ul Słowiańska 46, 64-100 Leszno","ul Słowiańska 46, 64-100 Leszno",695 991 543,franciszeksokolowski@o2.pl,https://www.piekarnia-i-cukiernia-chrupiacy-rogalik.eu
FIRMAID-00047,Zakład Usług Komunalnych sp. z o. o.,Zakład Usług Komunalnych,Amelia,Jagoda,Wróbel,60122869864,1238448201,,2013-04-15,,,66.22.Z,"ulica Gdańska 63, 83-110 Tczew","ulica Gdańska 63, 83-110 Tczew",48-656-311-774,amelia_wrobel@proton.me,https://zaklad-uslug-komunalnych.local
FIRMAID-00048,Polski Komfort Sp. z o.o.,Polski Komfort,Nikodem,Jerzy,Majewski,61010771256,1238527395,,2020-01-03,,,62.01.Z,"Sobieskiego 80, 84-200 Wejherowo","Sobieskiego 80, 84-200 Wejherowo",754 471 062,nikodem.majewski88@yahoo.com,https://www.polski-komfort-group.pl
FIRMAID-00049,Kancelaria Radców Prawnych Partnerzy SP Z O O,Kancelaria Radców Prawnych Partnerzy,Martyna,,Olszewska,62021472604,1238606580,,2024-12-25,,2025-11-28,70.22.Z,"ul. Głęboka 97/85, 43-400 Cieszyn","ul. Głęboka 97/85, 43-400 Cieszyn",511329428,martyna.olszewska@gmail.com,
FIRMAID-00050,Centrum Dystrybucji Alkoholi spółka z ograniczoną odpowiedzialnością,Centrum Dystrybucji Alkoholi,Miłosz,Marian,Jaworski,63032173991,1248685807,,2011-01-14,,2024-12-04,43.22.Z,"114, 42-500 Będzin","114, 42-500 Będzin",48-700-346-992,m.jaworski@pocztaa.pl,https://www.centrum-dystrybucji-alkoholi-group.eu
FIRMAID-00051,Przedsiębiorstwo Spedycyjne Ładunek Spółka z ograniczoną odpowiedzialnością,Przedsiębiorstwo Spedycyjne Ładunek,Agata,Irena,Malinowska,64042875341,1238764965,,2025-02-25,,2024-04-14,66.22.Z,"ulica Królowej Jadwigi 131, 88-100 Inowrocław","ulica Królowej Jadwigi 131, 88-100 Inowrocław",48-509-229-924,malinowska.agata@wp.pl,https://www.przedsiebiorstwo-spedycyjne-ladunek.local
FIRMAID-00052,Fabryka Tekstyliów Splot S.A.,Fabryka Tekstyliów Splot,Tadeusz,,Pająk,65050776734,1238844150,,2010-03-10,,2026-10-26,43.22.Z,"Wybickiego 148, 86-300 Grudziądz","Wybickiego 148, 86-300 Grudziądz",557356137,tadeuszpajak@onet.pl,https://fabryka-tekstyliow-splot.pl
FIRMAID-00053,Górnośląskie Towarzystwo Finansowe SA,Górnośląskie Towarzystwo Finansowe,Helena,Izabela,Szczepańska,66061478084,1238923346,,2019-08-09,,,66.22.Z,"ul. Czarnieckiego 165/47, 14-100 Ostróda","ul. Czarnieckiego 165/47, 14-100 Ostróda",533515663,helena_szczepanska@interia.pl,https://www.gornoslaskie-towarzystwo-finansowe-group.com.pl
FIRMAID-00054,Krajowa Agencja Informacyjna S. A.,Krajowa Agencja Informacyjna,Stefan,Mirosław,Czerwiński,67072179470,1239002536,,2017-11-16,,2024-04-09,62.01.Z,"ul Nieistniejąca 2, 99-999 Nibylandia","ul Nieistniejąca 2, 99-999 Nibylandia",48-680-750-396,stefan.czerwinski94@o2.pl,https://www.krajowa-agencja-informacyjna-group.eu
FIRMAID-00055,Polskie Jagody Spółka Akcyjna,Polskie Jagody,Jadwiga,,Kubiak,68082880822,1239081725,,2021-02-16,,2024-08-31,64.19.Z,"ulica Lubelska 19, 24-100 Puławy","ulica Lubelska 19, 24-100 Puławy",(48) 610826711,jadwiga.kubiak@proton.me,
FIRMAID-00056,Zielony Amber sp. z o.o.,Zielony Amber,Józef,Piotr,Wilk,69090782216,1239160910,,2025-01-04,,31-05-2025,64.19.Z,"Staszica 36, 22-400 Zamość","Staszica 36, 22-400 Zamość",696 914 780,j.wilk@yahoo.com,https://www.zielony-amber.pl
FIRMAID-00057,Zielony Bizon sp z oo,Zielony Bizon,Monika,Maria,Wysocka,70101483567,1239240106,,2015-05-24,,,66.22.Z,"53/9, 16-300 Augustów","53/9, 16-300 Augustów",647164714,wysocka.monika@gmail.com,https://zielony-bizon.com.pl
FIRMAI-00058,Zielony Canyon sp. z o. o.,Zielony Canyon,Edward,,Chmielewski,71112184953,1239319291,,2012-05-24,,2025-09-09,64.19.Z,"ul Kościuszki 70, 16-400 Suwałki","ul Kościuszki 70, 16-400 Suwałki",799343720,edwardchmielewski@outlook.com,https://www.zielony-canyon-group.eu
FIRMAID-00059,Zielony Delfin Sp. z o.o.,Zielony Delfin,Sabina,Joanna,Urbańska,72122886303,1239398480,,2012-06-22,2022-04-30,,64.19.Z,"os. Piastowska 87, 48-300 Nysa","os. Piastowska 87, 48-300 Nysa",+48 548 157 896,sabina_urbanska@wp.pl,https://www.zielony-delfin-group.local
FIRMAID-00060,Zielony Echo SP Z O O,Zielony Echo,Arkadiusz,Paweł,Błaszczyk,73010787692,1239477676,,2016-09-08,2025-01-01,,64.19.Z,"Długa 104, 49-300 Brzeg","Długa 104, 49-300 Brzeg",48-619-329-111,arkadiusz.blaszczyk71@onet.pl,https://www.zielony-echo-group.pl
FIRMAID-00061,P.P.H.U. Zielony Falcon,P.P.H.U. Zielony Falcon,Anna,,Szulc,74021489041,1239556861,,2021-12-20,,,70.22.Z,"ul. Rynek 121/61, 68-200 Żary","ul. Rynek 121/61, 68-200 Żary",734610122,anna.szulc@interia.pl,
FIRMAID-00062,Zielony Gryf Spółka z ograniczoną odpowiedzialnością,Zielony Gryf,Tomasz,Robert,Kozak,75032190430,1239636057,,2018-03-16,2023-01-20,,64.19.Z,"ul Sikorskiego 138, 66-200 Świebodzin","ul Sikorskiego 138, 66-200 Świebodzin",(48) 790368164,t.kozak@o2.pl,https://zielony-gryf.eu
FIRMAID-00063,Zielony Horyzont S.A.,Zielony Horyzont,Katarzyna,Agnieszka,Cieślak,76042891780,1239715242,,2017-11-27,2021-03-11,2026-06-17,66.22.Z,"ulica Armii Krajowej 155, 78-100 Kołobrzeg","ulica Armii Krajowej 155, 78-100 Kołobrzeg",48-583-356-585,cieslak.katarzyna@proton.me,https://www.zielony-horyzont-group.local
FIRMAID-00064,Zielony Ikar SA,Zielony Ikar,Krzysztof,,Andrzejewski,77050793174,1239794431,,2013-09-28,,,64.19.Z,"Piłsudskiego 172, 73-110 Stargard","Piłsudskiego 172, 73-110 Stargard",+48 528 213 044,krzysztofandrzejewski@yahoo.com,https://www.zielony-ikar-group.pl
FIRMAID-00065,Zielony Jantar S. A.,Zielony Jantar,Ewa,Justyna,Gajewska,78061494522,1239873627,,2021-09-28,,,64.19.Z,"ul. Mickiewicza 9/23, 27-600 Sandomierz","ul. Mickiewicza 9/23, 27-600 Sandomierz",597 294 152,ewa_gajewska@gmail.com,https://www.zielony-jantar-group.com.pl
FIRMAID-00066,Zielony Koral Spółka Akcyjna,Zielony Koral,Adam,Jan,Laskowski,79072195918,1239952812,,2024-11-01,2021-03-20,,66.22.Z,"ul Sienkiewicza 26, 27-400 Ostrowiec Świętokrzyski","ul Sienkiewicza 26, 27-400 Ostrowiec Świętokrzyski",693649547,adam.laskowski77@outlook.com,https://www.zielony-koral.eu
FIRMAID-00067,Zielony Lotos sp. z o.o.,Zielony Lotos,Monika,,Mazurek,80082897268,1240032000,,2019-11-09,2024-11-29,2021-08-24,66.22.Z,"ulica Chmielna 43, 00-020 Warszawa","ulica Chmielna 43, 00-020 Warszawa",48-598-818-475,monika.mazurek@wp.pl,
FIRMAID-00068,Zielony Magnolia sp z oo,Zielony Magnolia,Marek,Marcin,Sobczak,81090798651,1240111194,,2010-03-08,,2021-07-05,62.01.Z,"Nowy Świat 60, 00-029 Warszawa","Nowy Świat 60, 00-029 Warszawa",+48 749 449 583,m.sobczak@onet.pl,https://www.zielony-magnolia-group.pl
FIRMAID-00069,Zielony Neon sp. z o. o.,Zielony Neon,Barbara,Karolina,Konieczna,82101400006,1240190383,,2019-08-26,2024-02-02,2026-10-22,62.01.Z,"ul. os. Przyjaźń 77/75, 01-355 Warszawa","ul. os. Przyjaźń 77/75, 01-355 Warszawa",527 893 134,konieczna.barbara@interia.pl,https://www.zielony-neon-group.com.pl
FIRMAID-00070,Zielony Oaza Sp. z o.o.,Zielony Oaza,Rafał,,Brzeziński,83112101393,1240269570,,2017-11-30,,,62.01.Z,"ul Jagiellońska 94, 05-120 Legionowo","ul Jagiellońska 94, 05-120 Legionowo",+48 747 718 270,rafalbrzezinski@o2.pl,https://www.zielony-oaza-group.eu
FIRMAID-00071,Zielony Pegaz SP Z O O,Zielony Pegaz,Aleksandra,Małgorzata,Makowska,84122802742,1240348766,,2013-02-22,2025-10-17,,66.22.Z,"ulica Piłsudskiego 111, 05-270 Marki","ulica Piłsudskiego 111, 05-270 Marki",574 879 543,aleksandra_makowska@proton.me,https://www.zielony-pegaz.local
FIRMAID-00072,Zielony Rubin spółka z ograniczoną odpowiedzialnością,Zielony Rubin,Andrzej,Jakub,Wrona,85010704131,1240427951,,2022-12-09,,2021-09-24,64.19.Z,"Andriollego 128, 05-400 Otwock","Andriollego 128, 05-400 Otwock",581356428,andrzej.wrona83@yahoo.com,https://zielony-rubin.pl
FIRMAID-00073,Zielony Szafir Spółka z ograniczoną odpowiedzialnością,Zielony Szafir,Marta,,Bąk,86021405480,1240507147,,2016-03-18,,2026-10-19,64.19.Z,"ul. Żeromskiego 145/37, 26-600 Radom","ul. Żeromskiego 145/37, 26-600 Radom",793 688 387,marta.bak@gmail.com,
FIRMAID-00074,Zielony Tytan S.A.,Zielony Tytan,Łukasz,Artur,Kucharski,87032106876,1240586336,,2023-11-04,2025-09-23,,62.01.Z,"ul Tumska 162, 09-402 Płock","ul Tumska 162, 09-402 Płock",(48) 746657455,l.kucharski@outlook.com,https://www.zielony-tytan-group.eu
