Numer pracownika,Numer agenta,Nazwa zakładu ubezpieczeń,Nazwa agenta,Imię agenta,Nazwisko agenta,Numer NIP agenta,Numer KRS agenta,Imię,DrugieImię,Nazwisko,PESEL,Data wpisu,Data zakończenia
47106335/P/323918,10000010/A/300010,Klinika Stomatologiczna Dent-Med Spółka Akcyjna,Piotr Dąbrowski Usługi Finansowe,Aleksandra,Mazur,1235597366,0000000978,Aleksandra,Małgorzata,Mazur,70122820541,26/04/2018,2026/06/02
72442705/P/865647,10000011/A/300011,Polski Tytoń sp. z o.o.,Robert Woźniak Biuro Ubezpieczeń,Andrzej,Krawczyk,1235676551,0000001075,Andrzej,Jakub,Krawczyk,71010721939,2023/25/11,27-04-2026
69313072/P/355267,10000012/A/300012,Gdańska Stocznia Jachtowa sp z oo,Adam Duda Studio Danych,Marta,Woźniak,1235755747,0000001172,Marta,,Woźniak,72021423289,29-01-2018,2015-17-05
99054744/P/425835,10000013/A/300013,Wytwórnia Makaronu Jajecznego sp. z o. o.,Malgorzata Cieslicka Posrednictwo,Łukasz,Jankowski,1235834932,0000001269,Łukasz,Artur,Jankowski,73032124675,2021-26-02,20160624
68655490/P/192113,10000014/A/300014,Zakłady Mięsne Tradycja Sp. z o.o.,Adam Wójcik Studio Danych,Paulina,Grabowska,1235914128,0000001366,Paulina,Iwona,Grabowska,74042826025,20181016,03/07/2017
85790397/P/844718,10000015/A/300015,Spółdzielnia Mleczarska Radomsko SP Z O O,Wojciech Pawłowski Konsulting,Mateusz,Pawlak,1235993317,0000001463,Mateusz,,Pawlak,75050727418,19/02/2019,2026/24/02
48277653/P/492632,10000016/A/300016,Kancelaria Finansowo-Księgowa Bilans spółka z ograniczoną odpowiedzialnością,Adam Kamiński Usługi Finansowe,Elżbieta,Michalska,1236072507,0000001560,Elżbieta,Renata,Michalska,76061428767,2019/15/01,17-09-2019
34620903/P/163076,,Zarząd Nieruchomości Komercyjnych Spółka z ograniczoną odpowiedzialnością,,Dawid,Król,1236151690,0000001657,Dawid,Maciej,Król,77072130157,,2020-24-10
20053714/P/831480,10000018/A/300018,Polskie Linie Oceaniczne S.A.,Magdalena Wiśniewska Biuro Ubezpieczeń,Dorota,Wieczorek,1236230886,0000001754,Dorota,,Wieczorek,78082831506,2019-20-11,20241102
93728339/P/506759,10000019/A/300019,Hurtownia Materiałów Budowlanych Cegiełka SA,Piotr Cieślicki Pośrednictwo,Dariusz,Jabłoński,1236310071,0000001851,Dariusz,Zbigniew,Jabłoński,79090732890,20251112,22/05/2025
61423654/P/614405,10000020/A/300020,PPHU Studio Projektowe Architektura,Karolina Kozłowska Biuro Ubezpieczeń,Beata,Witkowska,1236389262,0000001948,Beata,Patrycja,Witkowska,80101434241,30/03/2025,2025/26/04
78152446/P/349671,10000021/A/300021,Centrum Medycyny Pracy Spółka Akcyjna,Justyna Zielińska Biuro Ubezpieczeń,Sławomir,Walczak,1236468458,0000002045,Sławomir,,Walczak,81112135637,2024/18/10,10-05-2026
69134632/P/935393,10000022/A/300022,Przedsiębiorstwo Energetyki Cieplnej sp. z o.o.,Katarzyna Duda Pośrednictwo,Urszula,Stępień,1236547643,0000002142,Urszula,Wiktoria,Stępień,82122836987,26-02-2020,2025-03-03
20812280/P/412662,10000023/A/300023,Gospodarstwo Rolno-Ogrodnicze sp z oo,Marcin Pawłowski Biuro Ubezpieczeń,Mariusz,Baran,1236626839,0000002239,Mariusz,Jacek,Baran,83010738376,2025-10-09,20251106
79070019/P/610517,10000024/A/300024,Drukarnia Wielkoformatowa Impress sp. z o. o.,Ewa Zielińska Studio Danych,Izabela,Rutkowska,1236706024,0000002336,Izabela,,Rutkowska,84021439724,20231221,05/05/2025
97192469/P/916861,10000025/A/300025,Klub Fitness Sylwetka Sp. z o.o.,Marek Pawlik Konsulting,Henryk,Górski,1236785213,0000002433,Henryk,Przemysław,Górski,85032141114,25/05/2023,2016/24/06
17468799/P/797356,10000026/A/300026,Polska Grupa Energetyczna SP Z O O,Magdalena Piotrowska Studio Danych,Weronika,Sikora,1236864409,0000002530,Weronika,Kinga,Sikora,86042842464,2019/25/02,03-07-2017
81154922/P/620039,10000027/A/300027,Mazowieckie Zakłady Drobiarskie spółka z ograniczoną odpowiedzialnością,Marcin Lewandowski Studio Danych,Stanisław,Ostrowski,1236943592,0000002627,Stanisław,,Ostrowski,87050743857,16-09-2019,2018-08-10
67845488/P/975375,10000028/A/300028,Hurtownia Farmaceutyczna Aptekarz Spółka z ograniczoną odpowiedzialnością,Iwona Duda Pośrednictwo,Zofia,Tomaszewska,1237022782,0000002724,Zofia,Kamila,Tomaszewska,88061445206,2024-06-11,20260611
81816216/P/140959,10000029/A/300029,Kancelaria Notarialna Lex S.A.,Krzysztof Szymański Pośrednictwo,Bartłomiej,Zając,1237101978,0000002821,Bartłomiej,Daniel,Zając,89072146593,20210316,05/08/2026
95601126/P/744372,10000030/A/300030,Biuro Podróży Wojażer SA,Maria Dąbrowska Studio Danych,Olga,Pietrzak,1237181167,0000002918,Olga,,Pietrzak,90082847941,14/01/2020,2021/03/11
40543157/P/320547,10000031/A/300031,Szkoła Języków Obcych Lingua S. A.,Paulina Wojciechowska Konsulting,Damian,Wójcicki,1237260352,0000003015,Damian,Waldemar,Wójcicki,91090749335,2022/26/09,26-08-2024
40359248/P/808970,10000032/A/300032,Centrum Logistyczne Podlasie Spółka Akcyjna,Bartosz Kaczmarek Usługi Finansowe,Ewelina,Czarnecka,1247339575,0000003112,Ewelina,Danuta,Czarnecka,92101450680,19-02-2018,2023-17-01
46165725/P/540900,10000033/A/300033,Fabryka Mebli Drewnianych Dąb sp. z o.o.,Agnieszka Kaimńska Biuro Ubezpieczeń,Bartosz,Lis,1237418735,0000003209,Bartosz,,Lis,93112152077,2024-29-08,20240224
89202608/P/312587,10000034/A/300034,Polskie Sady sp z oo,Sebastian Pawłowski Konsulting,Sylwia,Kołodziej,1237497924,0000003306,Sylwia,Aneta,Kołodziej,94122853426,20220824,03/03/2025
57750637/P/935291,10000035/A/300035,Wielkopolska Hurtownia Stali sp. z o. o.,Andrzej Jasieński Biuro Ubezpieczeń,Leszek,Kaczmarek,1247577145,0000003403,Leszek,Kacper,Kaczmarek,95010754814,03/06/2021,2026/10/04
96747625/P/836778,10000036/A/300036,Zakład Oczyszczania Miasta Sp. z o.o.,Iwona Nowacka Biuro Ubezpieczeń,Grażyna,Piątek,1237656305,0000003500,Grażyna,,Piątek,96021456164,2023/01/05,01-11-2024
51626457/P/932787,10000037/A/300037,Przedsiębiorstwo Wodociągów i Kanalizacji SP Z O O,Jakub Jasieński Studio Danych,Cezary,Sadowski,1237735499,0000003597,Cezary,Szymon,Sadowski,97032157550,18-09-2020,2024-19-08
81505013/P/885579,10000038/A/300038,Instytut Badań Rynkowych spółka z ograniczoną odpowiedzialnością,Rafał Cieślicki Usługi Finansowe,Bożena,Włodarczyk,1237814684,0000003694,Bożena,Oliwia,Włodarczyk,98042858909,2018-08-07,20250822
10789475/P/872374,10000039/A/300039,Agencja Ochrony Solidna Spółka z ograniczoną odpowiedzialnością,Wojciech Cieślar Konsulting,Filip,Borkowski,1237893873,0000003791,Filip,,Borkowski,99050760297,20251016,10/08/2018
66375879/P/489503,10000040/A/300040,Instagram - Meta,Jan Kowalski Studio Danych,Zuzanna,Sawicka-Pająk,1237973069,0000003888,Zuzanna,Emilia,Sawicka-Pająk,00261461640,19/06/2021,2025/27/02
43566827/P/166409,10000041/A/300041,Krajowa Izba Gospodarcza SA,Iwona Nowak Pośrednictwo,Mikołaj,Dudek,1238052259,0000003985,Mikołaj,Ignacy,Dudek,01272163037,2021/30/12,24-10-2020
63503584/P/352786,10000042/A/300042,Polskie Zakłady Lotnicze S. A.,Paulina Kwiatkowska Biuro Ubezpieczeń,Lena,Adamczyk,1238131444,0000004082,Lena,,Adamczyk,02282864387,22-06-2025,2021-11-03
89159524/P/850467,10000043/A/300043,Hurtownia Elektryczna Wat Spółka Akcyjna,Katarzyna Kaczmarek Biuro Ubezpieczeń,Antoni,Pawłowski,1248210665,0000004179,Antoni,Leon,Pawłowski,03290765770,2024-20-05,20240606
63536021/P/347221,10000044/A/300044,Centrum Ogrodnicze Zielona Oaza sp. z o.o.,Dorota Woźniak Konsulting,Hanna,Nowicka,1238289820,0000004276,Hanna,Dominika,Nowicka,04301467122,20181123,05/01/2025
79247399/P/878354,10000045/A/300045,Piekarnia i Cukiernia Chrupiący Rogalik sp z oo,Paweł Wójcik Konsulting,Franciszek,Sokołowski,1238369016,0000004373,Franciszek,,Sokołowski,05312168518,31/03/2020,2024/08/08
63762727/P/580185,10000046/A/300046,Zakład Usług Komunalnych sp. z o. o.,Monika Kozłowska Pośrednictwo,Amelia,Wróbel,1238448201,0000004470,Amelia,Jagoda,Wróbel,60122869864,2022/11/06,06-05-2025
55753033/P/397223,10000047/A/300047,Polski Komfort Sp. z o.o.,Natalia Kowalska Pośrednictwo,Nikodem,Majewski,1238527395,0000004567,Nikodem,Jerzy,Majewski,61010771256,17-10-2019,2025-05-08
78703887/P/421691,10000048/A/300048,Kancelaria Radców Prawnych Partnerzy SP Z O O,Dariusz Nowak Studio Danych,Martyna,Olszewska,1238606580,0000004664,Martyna,,Olszewska,62021472604,2024-21-09,20150517
34251387/P/610695,10000049/A/300049,Centrum Dystrybucji Alkoholi spółka z ograniczoną odpowiedzialnością,Karolina Kwiatkowska Pośrednictwo,Miłosz,Jaworski,1248685807,0000004761,Miłosz,Marian,Jaworski,63032173991,20190324,24/06/2016
71132536/P/464984,10000050/A/300050,Przedsiębiorstwo Spedycyjne Ładunek Spółka z ograniczoną odpowiedzialnością,Robert Kwiatkowski Pośrednictwo,Agata,Malinowska,1238764965,0000004858,Agata,Irena,Malinowska,64042875341,06/07/2023,2017/03/07
58912444/P/905926,10000051/A/300051,Fabryka Tekstyliów Splot S.A.,Justyna Kozłowska Studio Danych,Tadeusz,Pająk,1238844150,0000004955,Tadeusz,,Pająk,65050776734,2023/18/02,10-08-2018
45936348/P/988094,10000052/A/300052,Górnośląskie Towarzystwo Finansowe SA,Aleksandra Kaczmarek Usługi Finansowe,Helena,Szczepańska,1238923346,0000005052,Helena,Izabela,Szczepańska,66061478084,26-07-2018,2019-17-09
33701268/P/203925,10000053/A/300053,Krajowa Agencja Informacyjna S. A.,Wojciech Kowalski Studio Danych,Stefan,Czerwiński,1239002536,0000005149,Stefan,Mirosław,Czerwiński,67072179470,2018-08-12,20201024
66269033/P/453634,10000054/A/300054,Polskie Jagody Spółka Akcyjna,Jakub Pawlik Pośrednictwo,Jadwiga,Kubiak,1239081725,0000005246,Jadwiga,,Kubiak,68082880822,20200731,20/12/2024
27478059/P/385819,10000055/A/300055,Zielony Amber sp. z o.o.,Rafał Wojciechowski Biuro Ubezpieczeń,Józef,Wilk,1239160910,0000005343,Józef,Piotr,Wilk,69090782216,31/08/2019,2026/28/10
88928741/P/757021,10000056/A/300056,Zielony Bizon sp z oo,Katarzyna Krawczyk Studio Danych,Monika,Wysocka,1239240106,0000005440,Monika,Maria,Wysocka,70101483567,2022/15/01,17-01-2023
41590497/P/304364,10000057/A/300057,Zielony Canyon sp. z o. o.,Marek Woźniak Pośrednictwo,Edward,Chmieelwski,1239319291,0000005537,Edward,,Chmielewski,71112184953,04-05-2025,2024-24-02
78371920/P/186126,10000058/A/300058,Zielony Delfin Sp. z o.o.,Justyna Nowak Konsulting,Sabina,Urbańska,1239398480,0000005634,Sabina,Joanna,Urbańska,72122886303,2019-11-12,20250303
45148398/P/507298,10000059/A/300059,Zielony Echo SP Z O O,Tomasz Wojciechowski Usługi Finansowe,Arkadiusz,Błaszczyk,1239477676,0000005731,Arkadiusz,Paweł,Błaszczyk,73010787692,20250917,11/08/2026
98538850/P/799314,10000060/A/300060,P.P.H.U. Zielony Falcon,Justyna Woźniak Biuro Ubezpieczeń,Anna,Szulc,1239556861,0000005828,Anna,,Szulc,74021489041,17/07/2018,2025/06/10
53681450/P/832408,10000061/A/300061,Zielony Gryf Spółka z ograniczoną odpowiedzialnością,Dariusz Nowacki Usługi Finansowe,Tomasz,Kozak,1239636057,0000005925,Tomasz,Robert,Kozak,75032190430,2019/30/07,24-06-2016
71488473/P/378572,10000062/A/300062,Zielony Horyzont S.A.,Tomasz Jasieński Usługi Finansowe,Katarzyna,Cieślak,1239715242,0000006022,Katarzyna,Agnieszka,Cieślak,76042891780,27-08-2024,2017-07-03
77637818/P/596625,10000063/A/300063,Zielony Ikar SA,Monika Grabowska Konsulting,Krzysztof,Andrzejewski,1239794431,0000006119,Krzysztof,,Andrzejewski,77050793174,2020-11-04,20180810
45554656/P/527105,10000064/A/300064,Zielony Jantar S. A.,Tomasz Jankowski Biuro Ubezpieczeń,Ewa,Gajewska,1239873627,0000006216,Ewa,Justyna,Gajewska,78061494522,20191006,23/02/2024
42178906/P/525880,10000065/A/300065,Zielony Koral Spółka Akcyjna,Magdalena Kwiatkowska Usługi Finansowe,Adam,Laskowski,1239952812,0000006313,Adam,Jan,Laskowski,79072195918,26/04/2018,2025/01/04
86516609/P/328587,10000066/A/300066,Zielony Lotos sp. z o.o.,Magdalona Nowacka Studio Danych,Monika,Mazurek,1240032000,0000006410,Monika,,Mazurek,80082897268,2021/14/04,03-11-2021
35726741/P/667929,10000067/A/300067,Zielony Magnolia sp z oo,Natalia Piotrowska Studio Danych,Marek,Sobczak,1240111194,0000006507,Marek,Marcin,Sobczak,81090798651,09-01-2025,2024-12-05
60943824/P/427244,10000068/A/300068,Zielony Neon sp. z o. o.,Elżbieta Nowacka Konsulting,Barbara,Konieczna,1240190383,0000006604,Barbara,Karolina,Konieczna,82101400006,2024-28-02,20230117
82479261/P/698919,10000069/A/300069,Zielony Oaza Sp. z o.o.,Bartosz Kaczmarek Usługi Finansowe,Rafał,Brzeziński,1240269570,0000006701,Rafał,,Brzeziński,83112101393,20210516,24/02/2024
49278562/P/495572,10000070/A/300070,Zielony Pegaz SP Z O O,Katarzyna Jaseńska Pośrednictw,Aleksandra,Makowska,1240348766,0000006798,Aleksandra,Małgorzata,Makowska,84122802742,13/10/2020,2025/02/10
32058933/P/686641,10000071/A/300071,Zielony Rubin spółka z ograniczoną odpowiedzialnością,Ewa Nowak Konsulting,Andrzej,Wrona,1240427951,0000006895,Andrzej,Jakub,Wrona,85010704131,2024/22/06,10-04-2026
60740815/P/880825,10000072/A/300072,Zielony Szafir Spółka z ograniczoną odpowiedzialnością,Małgorzata Wójcik Konsulting,Marta,Bąk,1240507147,0000006992,Marta,,Bąk,86021405480,19-03-2023,2015-17-05
57636027/P/988289,10000073/A/300073,Zielony Tytan S.A.,Rafał Duda Pośrednictwo,Łukasz,Kucharski,1240586336,0000007089,Łukasz,Artur,Kucharski,87032106876,2019-08-08,20260608
10634263/P/860392,10000074/A/300074,Zielony Uran SA,Bartosz Nowak Pośrednictwo,Paulina,Lisowska,1240665521,0000007186,Paulina,Iwona,Lisowska,88042808226,20200131,19/05/2025
68651420/P/784500,10000075/A/300075,Zielony Wektor S. A.,Krzysztof Zieliński Studio Danych,Mateusz,Słowik,1240744717,0000007283,Mateusz,,Słowik,89050709619,13/02/2025,2018/10/08
46186797/P/397674,10000076/A/300076,Zielony Zefir Spółka Akcyjna,Sebastian Jankowski Usługi Finansowe,Elżbieta,Kopeć,1240823902,0000007380,Elżbieta,Renata,Kopeć,90061410960,2023/03/11,17-09-2019
21065235/P/965398,10000077/A/300077,Zielony Żubr sp. z o.o.,Patrycja Kowalska Biuro Ubezpieczeń,Dawid,Czajka,1240903096,0000007477,Dawid,Maciej,Czajka,91072112357,27-04-2019,2025-10-06
98163305/P/848163,10000078/A/300078,Zielony Sokół sp z oo,Wojciech Grabowski Studio Danych,Dorota,Matusiak,1240982285,0000007574,Dorota,,Matusiak,92082813706,2020-24-03,20240402
13772760/P/632203,10000079/A/300079,Zielony Orzeł sp. z o. o.,Krzysztof Grabowski Usługi Finansowe,Dariusz,Gajda,1241061475,0000007671,Dariusz,Zbigniew,Gajda,93090715091,20210504,21/05/2025
95397152/P/846888,10000080/A/300080,mBank,Michał Woźniak Pośrednictwo,Beata,Klimek-Bednarek,1241140660,0000007768,Beata,Patrycja,Klimek-Bednarek,94101416442,16/05/2022,2025/30/09
42277526/P/444857,10000081/A/300081,Zielony Barycz SP Z O O,Krzysztof Piotrowski Usługi Finansowe,Sławomir,Madej,1241219858,0000007865,Sławomir,,Madej,95112117838,2022/05/03,202402240143
94650631/P/101329,10000082/A/300082,Zielony Noteć spółka z ograniczoną odpowiedzialnością,Aleksandra Pawłowska Konsulting,Urszula,Krupa,1241299047,0000007962,Urszula,Wiktoria,Krupa,96122819189,22-02-2025,2025-03-03
35174417/P/824459,10000083/A/300083,Zielony Pilica Spółka z ograniczoną odpowiedzialnością,Krzysztof Jasieński Usługi Finansowe,Mariusz,Kaczmarczyk,1241378232,0000008059,Mariusz,Jacek,Kaczmarczyk,97010720570,2023-31-10,20240715
41379323/P/499619,10000084/A/300084,Zielony Narew S.A.,Bartosz Krawczyk Pośrednictwo,Izabela,Wrona,1241457428,0000008156,Izabela,,Wrona,98021421928,20200314,17/05/2015
84203713/P/658443,10000085/A/300085,Zielony Jodełka SA,Maria Kozłowska Biuro Ubezpieczeń,Henryk,Wasilewski,1241536613,0000008253,Henryk,Przemysław,Wasilewski,99032123315,18/08/2019,2024/14/08
41274098/P/331407,10000086/A/300086,Zielony Kaktus S. A.,Małgorzata Cieślicka Konsulting,Weronika,Kalinowska,1241615809,0000008350,Weronika,Kinga,Kalinowska,00242824660,2025/02/07,16-04-2025
88968223/P/550575,10000087/A/300087,Zielony Szmaragd Spółka Akcyjna,Krzysztof Krawczyk Biuro Ubezpieczeń,Stanisław,Zarychta,1241694996,0000008447,Stanisław,,Zarychta,01250726054,14/09/2025 01:19,2026-08-09
16806511/P/642420,10000088/A/300088,Zielony Topaz sp. z o.o.,Monika Wiśniewska Studio Danych,Zofia,Przybylska,,0000008544,Zofia,Kamila,Przybylska,02261427402,2021-25-02,20251008
31814291/P/799769,10000089/A/300089,Zielony Granit sp z oo,Elżbieta Krawczyk Usługi Finansowe,Bartłomiej,Michalak,1241853377,0000008641,Bartłomiej,Daniel,Michalak,03272128799,20180608,09/03/2024
25433758/P/505821,10000090/A/300090,Zielony Marmur sp. z o. o.,Dariusz Piotrowski Studio Danych,Olga,Szatkowska,1241932562,0000008738,Olga,,Szatkowska,04282830142,24/09/2025,2026/12/05
71996630/P/930632,10000091/A/300091,Zielony Syrena Sp. z o.o.,Dariusz Pawlik Usługi Finansowe,Damian,Bednarek,1242011752,0000008835,Damian,Waldemar,Bednarek,05290731535,2019/19/02,07-08-2025
29030047/P/132018,10000092/A/300092,Zielony Zodiak SP Z O O,Katarzyna Piotrowska Biuro Ubezpieczeń,Ewelina,Podgórska,1242090941,0000008932,Ewelina,Danuta,Podgórska,60101432883,25-05-2018,2023-17-01
76864108/P/965858,10000093/A/300093,Zielony Olimp spółka z ograniczoną odpowiedzialnością,Katarzyna Kowalska Studio Danych,Bartosz,Śliwiński,1242170137,0000009029,Bartosz,,Śliwiński,61112134270,2018-07-02,20240224
75094007/P/155024,10000094/A/300094,Zielony Zorza Spółka z ograniczoną odpowiedzialnością,Marek Zieliński Usługi Finansowe,Sylwia,Czajkowska,1242249324,0000009126,Sylwia,Aneta,Czajkowska,62122835629,20200308,25/07/2025
63978771/P/181538,10000095/A/300095,Zielony Krokus S.A.,Barbara Zielińska Biuro Ubezpieczeń,Leszek,Biernat,1252328545,0000009223,Leszek,Kacper,Biernat,63010737018,26/10/2019,2026/10/04
15199031/P/826436,10000096/A/300096,Zielony Narcyz SA,Robert Dąbrowski Biuro Ubezpieczeń,Grażyna,Panek,1242407705,0000009320,Grażyna,,Panek,64021438367,2024/15/11,10-06-2026
78050830/P/558579,10000097/A/300097,Zielony Giewont S. A.,Robert Kamiński Studio Danych,Cezary,Prus,1242486892,0000009417,Cezary,Szymon,Prus,65032139753,20-11-2019,2016-24-06
52299863/P/925792,10000098/A/300098,Zielony Rysy Spółka Akcyjna,Jan Wiśniewski Studio Danych,Bożena,Janik,1242566088,0000009514,Bożena,Oliwia,Janik,66042841106,2020-28-06,20170703
72921036/P/236260,10000099/A/300099,Zielony Kasprowy sp. z o.o.,Marcin Lewandowski Pośrednictwo,Filip,Kowalski,1242645273,0000009611,Filip,,Kowalski,67050742490,20240803,10/08/2018
16234132/P/403011,10000100/A/300100,PPHU Zielony Beskid,Bartosz Dąbrowski Studio Danych,Zuzanna,Nowacka,1242724469,0000009708,Zuzanna,Emilia,Nowacka,68061443848,01/07/2018,2026/13/07
44273710/P/976592,10000101/A/300101,Zielony Bieszczady sp. z o. o.,Rafał Pawłowski Biuro Ubezpieczeń,Mikołaj,Wiśniewski,1242803654,0000009805,Mikołaj,Ignacy,Wiśniewski,69072145235,2025/11/02,24-10-2020
50951259/P/140585,10000102/A/300102,Zielony Karpaty Sp. z o.o.,Dorota Pawłowska Usługi Finansowe,Lena,Wójcik,1242882843,0000009902,Lena,,Wójcik,70082846584,19-11-2024,2025-06-08
45667279/P/834696,10000103/A/300103,Zielony Bałtyk SP Z O O,Robert Mazur Konsulting,Antoni,Kowalczyk,1242962039,0000009999,Antoni,Leon,Kowalczyk,71090747977,2019-05-03,20240723
94215726/P/775526,10000104/A/300104,Zielony Sudety spółka z ograniczoną odpowiedzialnością,Marcin Wojciechowski Pośrednictwo,Hanna,Kamińska,1243041229,0000010096,Hanna,Dominika,Kamińska,72101449329,20190717,17/01/2023
58352391/P/141482,10000105/A/300105,Niebieski Amber Spółka z ograniczoną odpowiedzialnością,Mateusz Jankowski Konsulting,Franciszek,Lewandowski,1243120414,0000010193,Franciszek,,Lewandowski,73112150718,13/06/2025,2024/24/02
24393232/P/158552,10000106/A/300106,Niebieski Bizon S.A.,Piotr Pawlik Pośrednictwo,Amelia,Zielińska,1243199605,0000010290,Amelia,Jagoda,Zielińska,74122852069,2023/13/06,24-02-2026
89344179/P/862488,10000107/A/300107,Niebieski Canyon SA,Andrzej Pawłowski Biuro Ubezpicezeń,Nikodem,Szymański,1243278799,0000010387,Nikodem,Jerzy,Szymański,75010753457,07-02-2019,2026-04-10
93473061/P/131458,10000108/A/300108,Niebieski Delfin S. A.,Małgorzata Piotrowska Biuro Ubezpieczeń,Martyna,Dąbrowska,1243357984,0000010484,Martyna,,Dąbrowska,76021454805,2025-29-09,20240326
93429704/P/612026,10000109/A/300109,Niebieski Echo Spółka Akcyjna,Barbara Mazur Konsulting,Miłosz,Mazur,1253437207,0000010581,Miłosz,Marian,Mazur,77032156193,20230122,24/06/2016
10660150/P/779544,10000110/A/300110,Niebieski Falcon sp. z o.o.,Joanna Cieślar Usługi Finansowe,Agata,Krawczyk,1243516365,0000010678,Agata,Irena,Krawczyk,78042857542,08/04/2025,2025/30/06
78368633/P/285012,10000111/A/300111,Niebieski Gryf sp z oo,Iwona Grabowska Konsulting,Tadeusz,Woźniak,1243595554,0000010775,Tadeusz,,Woźniak,79050758935,2019/19/08,06-07-2026
43607043/P/746741,10000112/A/300112,Niebieski Horyzont sp. z o. o.,Piotr Wiśniewski Usługi Finansowe,Helena,Jankowska,1253674775,0000010872,Helena,Izabela,Jankowska,80061460287,14-10-2019,2026-15-10
69538667/P/782843,10000113/A/300113,Niebieski Ikar Sp. z o.o.,Barbara Grabowska Studio Danych,Stefan,Grabowski,1243753935,0000010969,Stefan,Mirosław,Grabowski,81072161673,2025-12-09,20201024
50509867/P/627482,10000114/A/300114,Niebieski Jantar SP Z O O,Monika Nowacka Studio Danych,Jadwiga,Pawlak,1243833120,,Jadwiga,,Pawlak,82082863023,20180117,22/02/2024
10952189/P/535396,10000115/A/300115,Niebieski Koral spółka z ograniczoną odpowiedzialnością,Dorota Kozłowska Studio Danych,Józef,Michalski,1243912316,0000011163,Józef,Piotr,Michalski,83090764416,26/07/2020,2022/10/12
57332059/P/322209,10000116/A/300116,Niebieski Lotos Spółka z ograniczoną odpowiedzialnością,Anna Woźniak Studio Danych,Monika,Król,1243991505,0000011260,Monika,Maria,Król,84101465768,2019/25/08,17-01-2023
30268654/P/583078,10000117/A/300117,Niebieski Magnolia S.A.,Aleksandra Dąbrowska Pośrednictwo,Edward,Wieczorek,1244070693,0000011357,Edward,,Wieczorek,85112167155,29-12-2021,2026-31-03
38667285/P/944210,10000118/A/300118,Niebieski Neon SA,Maria Krawczyk Biuro Ubezpieczeń,Sabina,Jabłońska,1244149880,0000011454,Sabina,Joanna,Jabłońska,86122868504,2023-27-07,20250331
25746132/P/486441,10000119/A/300119,Niebieski Oaza S. A.,Mateusz Cieślar Usługi Finansowe,Arkadiusz,Witkowski,1244229076,0000011551,Arkadiusz,Paweł,Witkowski,87010769893,20240130,03/06/2024
57437868/P/870507,10000120/A/300120,X - Twitter,Jakub Grabowski Konsulting,Anna,Walczak-Czarnecka,1244308261,0000011648,Anna,,Walczak-Czarnecka,88021471245,21/09/2021,2015/17/05
59613524/P/922005,10000121/A/300121,Niebieski Rubin sp. z o.o.,Elżbieta Wojciechowska Studio Danych,Tomasz,Stępień,1244387450,0000011745,Tomasz,Robert,Stępień,89032172631,2018/03/01,24-06-2016
