PESEL,Imie,DrugieImie,Nazwisko,NazwiskoRodowe,DataUrodzenia,Plec,MiejsceUrodzenia,Obywatelstwo,ImieOjca,ImieMatki,AdresZameldowania,AdresKorespondencyjny,NumerDowoduOsobistego,NumerPaszportu,Telefon,Email
75050727418,Adam,,Pawlak,,1975-07-05,M,Poznań,PL,Wojciech,Katarzyna,"Warszawska 76, 40-009 Katowice","Warszawska 76, 40-009 Katowice",EFT955548,,760 771 195,adampawlak@yahoo.com
76061428767,Monika,Maria,Michalska,Górska,19760614,K,Lublin,PL,Rafał,Joanna,"ul. Krakowskie Przedmieście 93/29, 20-002 Lublin","ul. Krakowskie Przedmieście 93/29, 20-002 Lublin",,PA4781605,+48 541 787 494,monika_michalska@gmail.com
77072130157,Marek,Michał,Król,,21/07/1977,,Kielce,,Piotr,Ewa,"ul Narutowicza 110, 20-004 Lublin","ul Narutowicza 110, 20-004 Lublin",KPP308634,,,marek.krol87@outlook.com
78082831506,Barbara,,Wieczorek,,1978/28/08,K,Szczecin,PL,Tomasz,Magdalena,"ulica Lipowa 127, 15-424 Białystok","ulica Lipowa 127, 15-424 Białystok",NUA385177,,(48) 707834915,barbara.wieczorek@wp.pl
79090732890,Rafał,Paweł,Jabłoński,,07-09-1979,M,Łódź,PL,Michał,Monika,"Sienkiewicza 144, Białystok","Sienkiewicza 144, Białystok",QZL461720,PA2616842,48-700-232-510,r.jablonski@onet.pl
80101434241,Anna,Magdalena,Witkowska,Zając,1980-14-10,K,Poznań,PL,Krzysztof,Agnieszka,"ul. Gdańska 161/81, 85-005 Bydgoszcz","ul. Gdańska 161/81, 85-005 Bydgoszcz",TEW538263,,48-662-247-653,witkowska.anna@interia.pl
81112135637,Tomasz,,Walczak,,19811121,M,Katowice,PL,Paweł,Barbara,"ul Dworcowa 178, 85-009 Bydgoszcz","ul Dworcowa 178, 85-009 Bydgoszcz",WJH314806,,789 108 568,tomaszwalczak@o2.pl
82122836987,Katarzyna,Agnieszka,Stępień,Wójcicka,28/12/1982,K,Olsztyn,PL,Adam,Justyna,"ulica Szeroka 15, 87-100 Toruń","ulica Szeroka 15, 87-100 Toruń",ZOS991349,P1491097,780 297 949,katarzyna_stepien@proton.me
83010738376,Krzysztof,Wojciech,Baran,,1983/07/01,M,Katowice,PL,Robert,Anna,"Chełmińska 32, 87-100 Toruń","Chełmińska 32, 87-100 Toruń",CTD467892,,+48 569 897 630,krzysztof.baran93@yahoo.com
84021439724,Ewa,,Rutkowska,,14-02-1984,K,Kielce,PL,Marek,Maria,"ul. 3 Maja 49/43, 35-030 Rzeszów","ul. 3 Maja 49/43, 35-030 Rzeszów",,,748 565 064,ewa.rutkowska@gmail.com
85032141114,Adam,Piotr,Górski,,1985-21-03,M,Lublin,PL,Wojciech,Katarzyna,"ul Piłsudskiego 66, 35-074 Rzeszów","ul Piłsudskiego 66, 35-074 Rzeszów",IDZ620978,,+48 561 589 249,a.gorski@outlook.com
86042842464,Monika,Maria,Sikora,Kaczmarek,19860428,K,Kraków,PL,Rafał,Joanna,"ulica Sienkiewicza 83, 25-007 Kielce","ulica Sienkiewicza 83, 25-007 Kielce",LIK797521,PA9556848,+48 636 846 057,sikora.monika@wp.pl
87050743857,Marek,,Ostrowski,,07/05/1987,M,Gdańsk,PL,Piotr,Ewa,"Warszawska 100, 25-512 Kielce","Warszawska 100, 25-512 Kielce",ONV374064,PA3592018,48-511-660-885,marekostrowski@onet.pl
88061445206,Barbara,Joanna,Tomaszewska,Sadowska,1988/14/06,K,Białystok,PL,Tomasz,Magdalena,"ul. Kościuszki 117/5, 10-504 Olsztyn","ul. Kościuszki 117/5, 10-504 Olsztyn",RSG150607,,48-712-533-813,barbara_tomaszewska@interia.pl
89072146593,Rafał,Paweł,Zając,,21-07-1989,M,Zielona Góra,PL,Michał,Monika,"os. Dąbrowszczaków 134, 10-540 Olsztyn","os. Dąbrowszczaków 134, 10-540 Olsztyn",UXR727150,,(48) 701828060,rafal.zajac70@o2.pl
90082847941,Anna,,Pietrzak,,1990-28-08,K,Gdańsk,PL,Krzysztof,Agnieszka,"ulica Krakowska 151, 45-018 Opole","ulica Krakowska 151, 45-018 Opole",XCC603693,,608 762 062,anna.pietrzak@proton.me
91090749335,Tomasz,Robert,Wójcicki,,19910907,M,Toruń,PL,Paweł,Barbara,"Ozimska 168, 45-057 Opole","Ozimska 168, 45-057 Opole",AHN180236,PA4853513,637252877,t.wojcicki@yahoocom
92101450680,Katarzyna,Agnieszka,Czarnecka,Nowacka,14/10/1992,K,Lublin,PL,Adam,Justyna,"ul. Bohaterów Westerplatte 5/57, 65-034 Zielona Góra","ul. Bohaterów Westerplatte 5/57, 65-034 Zielona Góra",,,+48 665 510 566,czarnecka.katarzyna@gmail.com
93112152077,Krzysztof,,Lis,,1993/21/11,M,Katowice,PL,Robert,Anna,"ul Kupiecka 22, 65-058 Zielona Góra","ul Kupiecka 22, 65-058 Zielona Góra",GRJ533322,,+48 604 651 911,krzysztoflis@outlook.com
94122853426,Ewa,Justyna,Kołodziej,Wójcik,28-12-1994,K,Rzeszów,PL,Marek,Maria,"ulica Świętojańska 39, 81-372 Gdynia","ulica Świętojańska 39, 81-372 Gdynia",JWU109865,,547 215 542,ewa_kolodziej@wp.pl
95010754814,Adam,Piotr,Kaczmarek,,1995-07-01,M,Gdańsk,PL,Wojciech,Katarzyna,"10 Lutego 56, 81-364 Gdynia","10 Lutego 56, 81-364 Gdynia",MBF486408,,659 454 793,adam.kaczmarek76@onet.pl
96021456164,Monika,,Piątek,,19960214,K,Poznań,PL,Rafał,Joanna,"ul. Bolesława Prusa 73/19, 05-800 Pruszków","ul. Bolesława Prusa 73/19, 05-800 Pruszków",PGQ462951,,(48) 553682704,monika.piatek@interia.pl
97032157550,Marek,Michał,Sadowski,,21/03/1997,M,Olsztyn,PL,Piotr,Ewa,05-500 Piaseczno,05-500 Piaseczno,SLB739494,,+48 726 445 217,m.sadowski@o2.pl
98042858909,Barbara,Joanna,Włodarczyk,Zielińska,1998/28/04,K,Wrocław,PL,Tomasz,Magdalena,"ulica Sienkiewicza 107, 32-020 Wieliczka","ulica Sienkiewicza 107, 32-020 Wieliczka",VQM416037,,+48 753 434 973,wlodarczyk.barbara@proton.me
99050760297,Rafał,,Borkowski,,07-05-1999,M,Gdynia,PL,Michał,Monika,"Dąbrowskiego 124, 32-600 Oświęcim","Dąbrowskiego 124, 32-600 Oświęcim",YVX492580,,667 481 564,rafalborkowski@yahoo.com
00261461640,Anna,Magdalena,Kowalska-Krawczyk,Krawczyk,2000-14-06,K,Zielona Góra,PL,Krzysztof,Agnieszka,"ul. Rynek 141/71, 38-400 Krosno","ul. Rynek 141/71, 38-400 Krosno",,,729486079,anna_kowalska.krawczyk@gmail.com
01272163037,Tomasz,Robert,Nowacki,,20010721,M,Rzeszów,PL,Paweł,Barbara,"ul Mickiewicza 158, 39-300 Mielec","ul Mickiewicza 158, 39-300 Mielec",EFT145666,PA8175810,(48) 525384817,tomasz.nowacki82@outlook.com
02282864387,Katarzyna,,Wiśniewska,,28/08/2002,K,Gdańsk,PL,Adam,Justyna,"175, 58-100 Świdnica","175, 58-100 Świdnica",HKE222209,,48-698-700-040,katarzyna.wisniewska@wp.pl
03290765770,Krzysztof,Wojciech,Wójcik,,2003/07/09,M,Zielona Góra,PL,Robert,Anna,"Wojska Polskiego 12, 57-300 Kłodzko","Wojska Polskiego 12, 57-300 Kłodzko",KPP598752,PL4534077,48-596-628-738,k.wojcik@onet.pl
04301467122,Ewa,Justyna,Kowalczyk,Jankowska,14-10-2004,K,Poznań,PL,Marek,Maria,"ul. Chrobrego 29/33, 62-200 Gniezno","ul. Chrobrego 29/33, 62-200 Gniezno",NUA575295,,+48 609 401 694,kowalczyk.ewa@interia.pl
05312168518,Adam,,Kamiński,,2005-21-11,M,Gdańsk,PL,Wojciech,Katarzyna,"ul Słowiańska 46, 64-100 Leszno","ul Słowiańska 46, 64-100 Leszno",QZL951838,,796 553 410,adamkaminski@o2.pl
60122869864,Monika,Maria,Lewandowska,Pawlak,19601228,K,Szczecin,PL,Rafał,Joanna,"ulica Gdańska 63, 83-110 Tczew","ulica Gdańska 63, 83-110 Tczew",TEW728381,P5900479,597 104 875,monika_lewandowska@proton.me
61010771256,Marek,Michał,Zieliński,,07/01/1961,M,Gdynia,PL,Piotr,Ewa,"Sobieskiego 80, 84-200 Wejherowo","Sobieskiego 80, 84-200 Wejherowo",WJH504924,P4928483,(48) 635945031,marek.zielinski88@yahoo.com
62021472604,Barbara,,Szymańska,,1962/14/02,K,Szczecin,PL,Tomasz,Magdalena,"ul. Głęboka 97/85, 43-400 Cieszyn","ul. Głęboka 97/85, 43-400 Cieszyn",,,48-678-752-619,barbara.szymanska@gmail.com
63032173991,Rafał,Paweł,Dąbrowski,,21-03-1963,M,Kielce,PL,Michał,Monika,"114, 42-500 Będzin","114, 42-500 Będzin",CTD058010,,48-782-655-352,r.dabrowski@pocztaa.pl
64042875341,Anna,Magdalena,Mazur,Jabłońska-Ostrowska,1964-28-04,K,Gdynia,PL,Krzysztof,Agnieszka,"ulica Królowej Jadwigi 131, 88-100 Inowrocław","ulica Królowej Jadwigi 131, 88-100 Inowrocław",FYO334553,,+48 737 784 018,mazur.anna@wp.pl
65050776734,Tomasz,,Krawczyk,,19650507,M,Rzeszów,PL,Paweł,Barbara,"Wybickiego 148, 86-300 Grudziądz","Wybickiego 148, 86-300 Grudziądz",IDZ111096,P9695950,735497770,tomaszkrawczyk@onet.pl
66061478084,Katarzyna,Agnieszka,Woźniak,Walczak,14/06/1966,K,Szczecin,PL,Adam,Justyna,"ul. Czarnieckiego 165/47, 14-100 Ostróda","ul. Czarnieckiego 165/47, 14-100 Ostróda",LIK387639,PL8874187,+48 542 555 664,katarzyna_wozniak@interia.pl
67072179470,Krzysztof,Wojciech,Jankowski,,1967/21/07,M,Wrocłah,PL,Robert,Anna,"ul Nieistniejąca 2, 99-999 Nibylandia","ul Nieistniejąca 2, 99-999 Nibylandia",ONV564182,,48-565-266-403,krzysztof.jankowski94@o2.pl
68082880822,Ewa,,Grabowska,,28-08-1968,K,Toruń,PL,Marek,Maria,"ulica Lubelska 19, 24-100 Puławy","ulica Lubelska 19, 24-100 Puławy",RSG340725,,681332549,ewa.grabowska@proton.me
69090782216,Adam,Piotr,Pawlak,,1969-07-09,M,Szczecin,PL,Wojciech,Katarzyna,"Staszica 36, 22-400 Zamość","Staszica 36, 22-400 Zamość",UXR217268,,(48) 608106252,a.pawlak@yahoo.com
70101483567,Monika,Maria,Michalska,Górska,19701014,K,Gdynia,PL,Rafał,Joanna,"53/9, 16-300 Augustów","53/9, 16-300 Augustów",,,589 498 674,michalska.monika@gmail.com
71112184953,aMrek,,Król,,21/11/1971,M,iKelec,PL,Piotr,Ewa,"ul Kościuszki 70, 16-400 Suwałki","ul Kościuszki 70, 16-400 Suwałki",AHN370354,PL6799346,500 231 747,marekkrol@outlook.com
72122886303,Barbara,Joanna,Wieczorek,Ostrowska,1972/28/12,K,Toruń,PL,Tomasz,Magdalena,"os. Piastowska 87, 48-300 Nysa","os. Piastowska 87, 48-300 Nysa",DMY946897,P3943843,678907515,barbara_wieczorek@wp.pl
83010787692,Rafał,Paweł,Jabłoński,,07-01-1973,M,Warszawa,PL,Michał,Monika,"Długa 104, 49-300 Brzeg","Długa 104, 49-300 Brzeg",GRJ723440,P3191160,48-770-203-887,rafal.jablonski71@onet.pl
74021489041,Anna,,Witkowska,,1974-14-02,K,Rzeszów,PL,Krzysztof,Agnieszka,"ul. Rynek 121/61, 68-200 Żary","ul. Rynek 121/61, 68-200 Żary",JWU399983,,700 882 873,anna.witkowska@interia.pl
75032190430,Tomasz,Robert,Walczak,,,M,Bydgoszcz,PL,Paweł,Barbara,"ul Sikorskiego 138, 66-200 Świebodzin","ul Sikorskiego 138, 66-200 Świebodzin",MBF676526,PL9406100,48-594-863-198,t.walczak@o2.pl
76042891780,Katarzyna,Agnieszka,Stępień,Wójcicka,28/04/1976,K,Rzeszów,PL,Adam,Justyna,"ulica Armii Krajowej 155, 78-100 Kołobrzeg","ulica Armii Krajowej 155, 78-100 Kołobrzeg",PGQ253069,PA9652310,(48) 677656912,stepien.katarzyna@proton.me
77050793174,Krzysztof,,Baran,,1977/07/05,M,Lublin,PL,Robert,Anna,"Piłsudskiego 172, 73-110 Stargard","Piłsudskiego 172, 73-110 Stargard",SLB029612,P9758448,+48 661 570 615,krzysztofbaran@yahoo.com
78061494522,Ewa,Justyna,Rutkowska,Lis,14-06-1978,K,Toruń,PL,Marek,Maria,"ul. Mickiewicza 9/23, 27-600 Sandomierz","ul. Mickiewicza 9/23, 27-600 Sandomierz",,PA2845185,(48) 768664943,ewa_rutkowska@gmail.com
79072195918,Adam,Piotr,Górski,,1979-21-07,M,Katowice,PL,Wojciech,Katarzyna,"ul Sienkiewicza 26, 27-400 Ostrowiec Świętokrzyski","ul Sienkiewicza 26, 27-400 Ostrowiec Świętokrzyski",YVX982698,,+48 638 488 651,adam.gorski77@outlook.com
80082897268,Monika,,Sikora,,19800828,K,Poznfń,PL,Rafał,Joanna,"ulica Marszałkowska 43, 00-590 Warszawa","ulica Marszałkowska 43, 00-590 Warszawa",BAI059241,,48-782-500-566,monika.sikora@wp.pl
81090798651,Marek,Michał,Ostrowski,,07/09/1981,M,Gdynia,PL,Piotr,Ewa,"Krakowskie Przedmieście 60, 00-071 Warszawa","Krakowskie Przedmieście 60, 00-071 Warszawa",EFT335784,,+48 716 523 426,m.ostrowski@onet.pl
82101400006,Barbara,Joanna,Tomaszewska,Sadowska,1982/14/10,K,Gdańsk,PL,Tomasz,Magdalena,"ul. Floriańska 77/75, 31-019 Kraków","ul. Floriańska 77/75, 31-019 Kraków",HKE412327,P6662066,48-549-155-087,tomaszewska.barbara@interia.pl
83112101393,Rafał,,Zając,,21-11-1983,M,Łódź,PL,Michał,Monika,"ul Długa 94, 31-147 Kraków","ul Długa 94, 31-147 Kraków",KPP788870,,647131229,rafalzajac@o2.pl
84122802742,Anna,Magdalena,Pietrzak,Borkowska,1984-28-12,K,Kielce,PL,Krzysztof,Agnieszka,"ulica Piotrkowska 111, 90-102 Łódź","ulica Piotrkowska 111, 90-102 Łódź",NUA865413,PA7806091,(48) 613279362,anna_pietrzak@proton.me
85010704131,Tomasz,Robert,Wójcicki,,19850107,M,Kraków,PL,Paweł,Barbara,"Zachodnia 128, 90-402 Łódź","Zachodnia 128, 90-402 Łódź",QZL141956,,48-556-901-193,tomasz.wojcicki83@yahoo.com
86021405480,Katarzyna,,Czarnecka,,14/02/1986,K,Kraków,PL,Adam,Justyna,"ul. Świdnicka 145/37, 50-066 Wrocław","ul. Świdnicka 145/37, 50-066 Wrocław",,,754267496,katarzyna.czarnecka@gmail.com
87032106876,Krzysztof,Wojciech,Lis,,1987/21/03,M,Poznań,PL,Robert,Anna,"ul Legnicka 162, 54-203 Wrocław","ul Legnicka 162, 54-203 Wrocław",WJH095042,PL7651435,612 599 428,k.lis@outlook.com
88042808226,Ewa,Justyna,Kołodziej,Wójcik,28-04-1988,K,Warszawa,PL,Marek,Maria,"ulica Święty Marcin 179, 61-806 Poznań","ulica Święty Marcin 179, 61-806 Poznań",ZOS371585,,502357316,kolodziej.ewa@wp.pl
89050709619,Adam,,Kaczmarek,,1989-07-05,M,Kielce,PL,Wojciech,Katarzyna,"Głogowska 16, 60-734 Poznań","Głogowska 16, 60-734 Poznań",CTD548128,,692296688,adamkaczmarek@onet.pl
90061410960,Monika,Maria,Piątek,Kamińska,19900614,K,Wrocław,PL,Rafał,Joanna,"ul. Długa 33/89, 80-831 Gdańsk","ul. Długa 33/89, 80-831 Gdańsk",FYO524671,,48-799-952-364,monika_piatek@interia.pl
91072112357,Marek,Michał,Sadowski,,21/07/1991,M,Wrocław,PL,Piotr,Ewa,"ul Grunwaldzka 50, 80-236 Gdańsk","ul Grunwaldzka 50, 80-236 Gdańsk",IDZ401214,,546 412 140,marek.sadowski89@o2.pl
92082813706,Barbara,,Włodarczyk,,1992/28/08,K,Białystok,PL,Tomasz,Magdalena,"ulica Jagiellońska 67, 70-435 Szczecin","ulica Jagiellońska 67, 70-435 Szczecin",LIK477757,,635 627 527,barbara.wlodarczyk@proton.me
93090715091,Rafał,Paweł,Borkowski,,07-09-1993,M,Warszawa,PL,Michał,Monika,"Wyszyńskiego 84, 70-200 Szczecin","Wyszyńskiego 84, 70-200 Szczecin",ONV854300,,704 912 670,r.borkowski@yahoo.com
94101416442,Anna,Magdalena,Kowalska-Krawczyk,Kowalska,1994-14-10,K,Rzeszów,PL,Krzysztof,Agnieszka,"ul. Mariacka 101/51, 40-014 Katowice","ul. Mariacka 101/51, 40-014 Katowice",,PA5391057,(48) 545982214,kowalska.krawczyk.anna@gmail.com
95112117838,Tomasz,,Nowacki,,19951121,M,Poznań,PL,Paweł,Barbara,"ul Warszawska 118, 40-009 Katowice","ul Warszawska 118, 40-009 Katowice",UXR407386,,619531753,tomasznowacki@outlook.com
96122819189,Katarzyna,Agnieszka,Wiśniewska,Krawczyk,28/12/1996,K,Poznań,PL,Adam,Justyna,"ulica Krakowskie Przedmieście 135, 20-002 Lublin","ulica Krakowskie Przedmieście 135, 20-002 Lublin",XCC483929,PA6720688,+48 510 692 520,katarzyna_wisniewska@wp.pl
97010720570,Krzysztof,Wojciech,Wójcik,,1997/07/01,M,Gdynia,PL,Robert,Anna,"Narutowicza 152, 20-004","Narutowicza 152, 20-004",AHN560472,,+48 696 535 170,krzysztof.wojcik95@onet.pl
98021421928,Ewa,,Kowalczyk,,14-02-1998 01:01:37,K,Warszawa,PL,Marek,Maria,"ul. Lipowa 169/13, 15-424 Białystok","ul. Lipowa 169/13, 15-424 Białystok",DMY537015,,(48) 600825195,ewa.kowalczyk@interia.pl
99032123315,Adam,Piotr,Kamiński,,1999-21-03,M,Warszawa,PL,Wojciech,Katarzyna,"ul Sienkiewicza 6, 15-092 Białystok","ul Sienkiewicza 6, 15-092 Białystok",GRJ213558,,535576924,a.kaminski@o2.pl
00242824660,Monika,Maria,Lewandowska,Pawlak,20000428,K,Zielona Góra,PL,Rafał,Joanna,"ulica Gdańska 23, 85-005 Bydgoszcz","ulica Gdańska 23, 85-005 Bydgoszcz",JWU690101,,770152290,lewandowska.monika@proton.me
01250726054,Marek,,Zieliński,,07/05/2001,M,Wrocław,PL,Piotr,Ewa,"os. Dworcowa 40, 85-009 Bydgoszcz","os. Dworcowa 40, 85-009 Bydgoszcz",MBF866644,PL8443206,48-675-356-836,marekzielinski@yahoo.com
02261427402,Barbara,Joanna,Szymańska,Król,2002/14/06,K,Olsztyn,PL,Tomasz,Magdalena,"ul. Szeroka 57/65, 87-100 Toruń","ul. Szeroka 57/65, 87-100 Toruń",,,611 135 479,barbara_szymanska@gmail.com
03272128799,Rafał,Paweł,Dąbrowski,,21-07-2003,M,Gdańsk,PL,Michał,Monika,"ul Chełmińska 74, 87-100 Toruń","ul Chełmińska 74, 87-100 Toruń",SLB219730,,543 699 469,rafal.dabrowski72@outlook.com
04282830142,Anna,,Mazur,,2004-28-08,K,Kielce,PL,Krzysztof,Agnieszka,"ulica 3 Maja 91, 35-030 Rzeszów","ulica 3 Maja 91, 35-030 Rzeszów",VQM896273,,48-514-295-408,anna.mazur@wp.pl
05290731535,Tomasz,Robert,Krawczyk,,20050907,M,Wrocław,PL,Paweł,Barbara,"Piłsudskiego 108, 35-074 Rzeszów","Piłsudskiego 108, 35-074 Rzeszów",YVX272816,,758 710 384,t.krawczyk@onet.pl
60101432883,Katarzyna,Agnieszka,Woźniak,Walczak,14/10/1960,K,Katowice,PL,Adam,Justyna,"ul. Sienkiewicza 125/27, 25-007 Kielce","ul. Sienkiewicza 125/27, 25-007 Kielce",BAI549359,P5337594,604395544,wozniak.katarzyna@interia.pl
61112134270,Krzysztof,,Jankowski,,1961/21/11,M,Warszawa,PL,Robert,Anna,"ul Warszawska 142, 25-512 Kielce","ul Warszawska 142, 25-512 Kielce",EFT625902,,504992428,krzysztofjankowski@o2.pl
62122835629,Ewa,Justyna,Grabowska,Baran,28-12-1962,K,Białystok,PL,Marek,Maria,"ulica Kościuszki 159, 10-504 Olsztyn","ulica Kościuszki 159, 10-504 Olsztyn",HKE602445,,695221141,ewa_grabowska@proton.me
63010737018,Adam,Piotr,Pawlak,,1963-07-01,M,Olsztyn,PL,Wojciech,Katarzyna,"Dąbrowszczaków 176, 10-540 Olsztyn","Dąbrowszczaków 176, 10-540 Olsztyn",KPP278988,,48-793-125-365,adam.pawlak78@yahoo.com
64021438367,Monika,,Michalska,,19640214,K,Lublin,PL,Rafał,Joanna,"ul. Krakowska 13/79, 45-018 Opole","ul. Krakowska 13/79, 45-018 Opole",,PA8660726,48-523-736-101,monika.michalska@gmail.com
65032139753,Marek,Michał,Król,,21/03/1965,M,Opole,PL,Piotr,Ewa,"ul Ozimska 30, 45-057 Opole","ul Ozimska 30, 45-057 Opole",QZL632074,,502807273,m.krol@outlook.com
66042841106,Barbara,Joanna,Wieczorek,Ostrowska,1966/28/04,K,Toruń,PL,Tomasz,Magdalena,"ulica Bohaterów Westerplatte 47, 65-034 Zielona Góra","ulica Bohaterów Westerplatte 47, 65-034 Zielona Góra",TEW508617,,(48) 724444407,wieczorek.barbara@wp.pl
67050742490,Rafał,,Jabłoński,,07-05-1967,M,Warszawa,PL,Michał,Monika,"Kupiecka 64, 65-058 Zielona Góra","Kupiecka 64, 65-058 Zielona Góra",WJH285160,,766 601 078,rafaljablonski@gmai1.com
68061443848,Anna,Magdalena,Witkowska,Zając,1968-14-06,K,Szczecin,PL,Krzysztof,Agnieszka,"ul. Świętojańska 81/41, 81-372 Gdynia","ul. Świętojańska 81/41, 81-372 Gdynia",ZOS661703,P7021186,+48 672 226 141,anna_witkowska@interia.pl
69072145235,Tomasz,Robert,Walczak,,19690721,M,Łódź,PL,Paweł,Barbara,ul 10 Lutego 98,ul 10 Lutego 98,CTD738246,PA9578808,+48 513 180 013,tomasz.walczak84@o2.pl
70082846584,Katarzyna,,Stępień,,28/08/1970,K,Gdynia,PL,Adam,Justyna,"ulica Bolesława Prusa 115, 05-800 Pruszków","ulica Bolesława Prusa 115, 05-800 Pruszków",FYO014789,,+48 512 784 353,katarzyna.stepien@proton.me
71090747977,Krzysztof,Wojciech,Baran,,1971/07/09,M,Gdańsk,PL,Robert,Anna,"Kościuszki 132, 05-500 Piaseczno","Kościuszki 132, 05-500 Piaseczno",IDZ691332,,(48) 707835614,k.baran@yahoo.com
72101449329,Ewa,Justyna,Rutkowska,Lis,14-10-1972,K,Olsztyn,PL,Marek,Maria,"ul. Sienkiewicza 149/3, 32-020 Wieliczka","ul. Sienkiewicza 149/3, 32-020 Wieliczka",,,547454516,rutkowska.ewa@gmail.com
73112150718,Adam,,Górski,,1973-21-11,M,Białystok,PL,Wojciech,Katarzyna,"ul Dąbrowskiego 166, 32-600 Oświęcim","ul Dąbrowskiego 166, 32-600 Oświęcim",ONV344418,PL8809488,730295265,adamgorski@outlook.com
74122852069,Monika,Maria,Sikora,Kaczmarek,19741228,K,Białystok,PL,Rafał,Joanna,"ulica Rynek 3, 38-400 Krosno","ulica Rynek 3, 38-400 Krosno",RSG720961,,507870622,monika_sikora@wp.pl
75010753457,Mraek,Michał,Ostrowski,,07/01/1975,M,Szcz,PL,Piotr,Ewa,"Mickiewicza 20, 39-300 Mielec","Mickiewicza 20, 39-300 Mielec",UXR797504,,48-748-236-429,marek.ostrowski90@onet.pl
