regon,nip,krs,nazwa,formaPrawna,formaWlasnosci,adresSiedziby,wojewodztwo,powiat,gmina,miejscowosc,kodPocztowy,telefon,email,stronaWWW,pkd,dataPowstania
727716939,7064230069,0000900333,SILESIA INVEST MARKETS SP Z OO,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ul. Głogowska 122, 71-559 Olsztyn",WARMIŃSKO-MAZURSKIE,OLSZTYN,OLSZTYN,OLSZTYN,63-836,728 516 907,biuro18@example.test,,66.22.Z,2013-06-29
605837149,4606969132,0000148818,ASTRA FINANCE SP Z O O,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Łąkowa 104/39, 26-106 Lublin",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN,80-663,(48) 646841131,biuro19@example.test,https://www.podmiot19.example.test,62.02.Z,2025-05-15
251800341,5232091345,,KAROLINA KOZŁOWSKA BIURO UBEZPIECZEŃ,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"Głogowska 137, 57-165 Wrocław",KUJAWSKO-POMORSKIE,TORUŃ,TORUŃ,TORUŃ,32-153,+48 605 983 868,biuro20@example.test,https://www.podmiot20.example.test,66.22.Z,2016-09-09
129838306,1558439913,0000604729,SILESIA INVEST SP. Z O.O.,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"Jarzębinowa 28, 67-932 Warszawa",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA,93-342,667925747,biuro21@example.test,,62.02.Z,2023-08-26
443369038,3947461090,,KATARZYNA DUDA POŚREDNICTWO,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"ul. Słoneczna 90/32, 35-106 Warszawa",DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW,WROCŁAW,83-279,+48 636 124 550,biuro22@example.test,https://www.podmiot22.example.test,62.01.Z,2023-09-02
886168905,6033652283,0000937803,BALTIC MED SUPPLY SP. Z O.O.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ul. Głogowska 136, 00-162 Poznań",WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ,06-817,+48 573 267 786,biuro23@example.test,https://www.podmiot23.example.test,62.01.Z,2020-01-31
236740151,8677237728,0000393021,OPTIMA TRADE SPÓŁKA AKCYJNA,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ul. Srebrna 136/65, 39-325 Kielce",ŚWIĘTOKRZYSKIE,KIELCE,KIELCE,KIELCE,06-729,48-771-781-534,biuro24@example.test,,66.22.Z,2023-01-22
903636325,5151182467,0000146060,Orbis Retail Solutions Services S.A.,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ulica Łąkowa 170/18, 94-438 Lublin",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN,35-994,612750356,biuro25@example.test,https://www.podmiot25.example.test,64.99.Z,2016-01-12
430936935,1396806496,,MAGDALENA PIOTROWSKA STUDIO DANYCH,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"95-195 Lublin, ul Kościuszki 89",KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,BYDGOSZCZ,89-439,785 807 783,biuro26@example.test,,66.22.Z,2016-01-28
919025276,4017526826,0000437306,SILESIA INVEST SP. Z O.O.,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ul. Żeromskiego 79, 37-801 Rzeszów",PODKARPACKIE,RZESZÓW,RZESZÓW,RZESZÓW,00-929,+48 799 636 672,biuro27@example.test,https://www.podmiot27.example.test,62.01.Z,2010-07-05
556557367,0191553737,0000045564,SILESIA INVEST SP Z OO,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ul. Głogowska 106/57, 66-858 Poznań",WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ,38-617,48-586-976-570,biuro28@example.test,https://www.podmiot28.example.test,66.22.Z,2024-08-25
273576599,3121523690,,KRZYSZTOF SZYMAŃSKI POŚREDNICTWO,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"67-943 Kraków, ul Żeromskiego 28",KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,BYDGOSZCZ,95-963,560 105 794,biuro29@example.test,,62.02.Z,2022-09-12
575741260,9417819894,0000958920,SILESIA INVEST SP Z O O,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Kwiatowa 76/33, 03-183 Białystok",PODLASKIE,BIAŁYSTOK,BIAŁYSTOK,BIAŁYSTOK,39-984,503 231 778,biuro30@example.test,https://www.podmiot30.example.test,62.02.Z,2020-10-29
659658090,5240291181,0000384616,OPTIMA TRADE SPÓŁKA AKCYJNA,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Topolowa 30, 56-428 Rzeszów",PODKARPACKIE,RZESZÓW,RZESZÓW,RZESZÓW,84-163,708 388 879,biuro31@example.test,,62.01.Z,2017-09-26
584323831,5868010543,0000680877,Optima Trade SP Z O O,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ul. Długa 111, 95-394 Olsztyn",WARMIŃSKO-MAZURSKIE,OLSZTYN,OLSZTYN,OLSZTYN,87-878,+48 562 558 717,biuro32@example.test,https://www.podmiot32.example.test,66.22.Z,2016-12-07
885738430,5218840493,0000146542,Nova Data Polska S.A.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"49-301 Olsztyn, ul Kwiatowa 80 m. 63",WARMIŃSKO-MAZURSKIE,OLSZTYN,OLSZTYN,OLSZTYN,61-892,+48 620 112 223,biuro33@example.test,,66.22.Z,2012-04-13
836693734,3644807750,0000078956,Astra Finance Technologie spółka z ograniczoną odpowiedzialnością,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ulica Kwiatowa 72/79, 81-489 Łódź",ŁÓDZKIE,ŁÓDŹ,ŁÓDŹ,ŁÓDŹ,79-989,558998379,biuro34@example.test,https://www.podmiot34.example.test,64.99.Z,2020-04-21
484898612,6633120169,0000319686,Aurum Invest Polska spółka z ograniczoną odpowiedzialnością,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ulica Piłsudskiego 124, 19-804 Kielce",ŚWIĘTOKRZYSKIE,KIELCE,KIELCE,KIELCE,01-499,+48 567 340 374,biuro35@example.test,https://www.podmiot35.example.test,62.02.Z,2021-07-30
442093597,2821832607,0000186206,Amber Payments sp z oo,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"95-129 Szczecin, ul Piłsudskiego 125",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,SZCZECIN,21-525,48-741-212-464,biuro36@example.test,https://www.podmiot36.example.test,66.22.Z,2015-01-13
363277737,4892747933,0000571661,Astra Finance SP Z O O,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ul. Kościuszki 133, 29-273 Warszawa",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA,46-814,48-644-206-420,biuro37@example.test,,62.02.Z,2020-12-29
152850982,8614634282,0000505217,Orbis Retail Solutions sp z oo,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ulica Polna 1, 68-311 Białystok",PODLASKIE,BIAŁYSTOK,BIAŁYSTOK,BIAŁYSTOK,70-806,(48) 781847608,biuro38@example.test,https://www.podmiot38.example.test,62.02.Z,2020-11-24
700190131,6313585955,,WOJCIECH CIEŚLAR KONSULTING,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"13-912 Kraków, ul Krótka 8",WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ,17-314,729370627,biuro39@example.test,https://www.podmiot39.example.test,62.02.Z,2025-08-05
812772033,0608935862,,JAN KOWALSKI STUDIO DANYCH,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"ul. Polna 118, 88-794 Opole",POMORSKIE,GDAŃSK,GDAŃSK,GDAŃSK,80-150,758769861,biuro40@example.test,https://www.podmiot40.example.test,62.02.Z,2022-09-25
112459950,4991784334,0000004578,Astra Finance S.A.,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ulica Portowa 133, 15-622 Gdynia",POMORSKIE,GDYNIA,GDYNIA,GDYNIA,37-421,48-799-518-315,biuro41@example.test,,62.02.Z,2017-09-03
637748640,2528544907,0000395515,ORBIS RETAIL SOLUTIONS TECHNOLOGIE SP. Z O.O.,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ulica Bałtycka 97/87, 00-389 Zielona Góra",LUBUSKIE,ZIELONA GÓRA,ZIELONA GÓRA,ZIELONA GÓRA,74-513,602528466,biuro42@example.test,,66.22.Z,2014-05-20
902966658,6329873007,,KATARZYNA KACZMAREK BIURO UBEZPIECZEŃ,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"ul. Polna 67, 58-525 Bydgoszcz",ŁÓDZKIE,ŁÓDŹ,ŁÓDŹ,ŁÓDŹ,52-535,730 281 709,biuro43@example.test,https://www.podmiot43.example.test,62.02.Z,2019-06-15
967097456,4578683865,,DOROTA WOŹNIAK KONSULTING,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"Leśna 87, 71-965 Szczecin",PODLASKIE,BIAŁYSTOK,BIAŁYSTOK,BIAŁYSTOK,21-793,48-526-667-699,biuro44@example.test,,62.01.Z,2012-07-15
865152310,4232412675,0000714629,QUANTUM SERVICES SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Żeromskiego 30/31, 97-419 Warszawa",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA,87-481,589 228 993,biuro45@example.test,,62.01.Z,2021-03-09
633318166,9799866696,0000997850,Aurum Invest Spółka Akcyjna,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ul. Kwiatowa 112/81, 10-277 Lublin",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN,76-601,(48) 750673444,biuro46@example.test,,66.22.Z,2023-05-30
405408360,1344110989,0000305604,ORBIS RETAIL SOLUTIONS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"Portowa 100/92, 34-387 Lublin",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN,49-570,(48) 678921086,biuro47@example.test,https://www.podmiot47.example.test,66.22.Z,2015-06-25
733605649,3261162973,,DARIUSZ NOWAK STUDIO DANYCH,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"ulica Polna 5, 03-596 Gdańsk",ŚLĄSKIE,KATOWICE,KATOWICE,KATOWICE,44-963,(48) 744218199,biuro48@example.test,,62.01.Z,2010-06-10
474573125,6844261518,,KAROLINA KWIATKOWSKA POŚREDNICTWO,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"ulica Polna 33, 37-439 iałystok",ŁÓDZKIE,ŁÓDŹ,ŁÓDŹ,ŁÓDŹ,98-193,+48 514 958 224,biuro49@example.test,,62.01.Z,2016-06-17
391913447,7541877824,0000456103,HELIOS MARKETS SP. Z O.O.,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ul. Kościuszki 60/65, 77-585 Szczecin",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,SZCZECIN,70-275,686733698,biuro50@example.test,,62.02.Z,2012-07-07
098915000,7860910685,0000299278,Optima Trade S.A.,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"32-317 Lublin, ul Bałtycka 7 m. 13",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN,41-171,+48 752 697 772,biuro51@example.test,,66.22.Z,2018-03-15
450305194,6885814121,,ALEKSANDRA KACZMAREK USŁUGI FINANSOWE,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"99-485 Katowice, ul Bałtycka 89",LUBUSKIE,ZIELONA GÓRA,ZIELONA GÓRA,ZIELONA GÓRA,22-941,(48) 701522759,biuro52@example.test,https://www.podmiot52.example.test,62.01.Z,2019-07-30
008532446,1265090778,,WOJCIECH KOWALSKI STUDIO DANYCH,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"ulica Leśna 13, 26-277 Gdynia",OPOLSKIE,OPOLE,OPOLE,OPOLE,66-851,48-552-435-650,biuro53@example.test,https://www.podmiot53.example.test,62.02.Z,2018-01-06
560928292,2072438971,,JAKUB PAWLIK POŚREDNICTWO,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"ul. Srebrna 58, 20-326 Białystok",DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW,WROCŁAW,63-335,642 578 721,biuro54@example.test,https://www.podmiot54.example.test,64.99.Z,2016-01-09
456642573,3859010910,,RAFAŁ WOJCIECHOWSKI BIURO UBEZPIECZEŃ,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"ulica Głogowska 137/51, 07-171 Łódź",WARMIŃSKO-MAZURSKIE,OLSZTYN,OLSZTYN,OLSZTYN,93-958,780265289,biuro55@example.test,,62.02.Z,2018-12-28
709550890,4311184731,0000271994,ORBIS RETAIL SOLUTIONS SP. Z O.O.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"Głogowska 78/72, 45-465 Wrocław",DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW,WROCŁAW,19-201,+48 730 307 167,biuro56@example.test,https://www.podmiot56.example.test,62.01.Z,2016-07-06
385427243,2221935233,0000837437,Polaris Capital Markets sp. z o.o.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Kościuszki 172, 21-408 Poznań",WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ,52-135,48-712-339-374,biuro57@example.test,https://www.podmiot57.example.test,62.02.Z,2010-09-22
809294923,6530512248,0000246890,Aurum Invest spółka z ograniczoną odpowiedzialnością,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Krótka 26/91, 79-186 Toruń",KUJAWSKO-POMORSKIE,TORUŃ,TORUŃ,TORUŃ,58-111,+48 742 586 913,biuro58@example.test,https://www.podmiot58.example.test,64.99.Z,2014-11-29
002097937,5664372606,,TOMASZ WOJCIECHOWSKI USŁUGI FINANSOWE,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"ulica Polna 46, 77-187 Szczecin",PODKARPACKIE,RZESZÓW,RZESZÓW,RZESZÓW,92-851,(48) 626204789,biuro59@example.test,https://www.podmiot59.example.test,66.22.Z,2019-06-14
725903560,3904140893,0000832336,SILESIA INVEST SPÓŁKA AKCYJNA,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"39-981 Olsztyn, ul Bałtycka 125 m. 56",WARMIŃSKO-MAZURSKIE,OLSZTYN,OLSZTYN,OLSZTYN,56-197,48-789-466-987,biuro60@example.test,https://www.podmiot60.example.test,62.02.Z,2013-01-20
400805040,5922904037,,DARIUSZ NOWACKI USŁUGI FINANSOWE,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"03-534 Gdańsk, ul Portowa 143 m. 87",WARMIŃSKO-MAZURSKIE,OLSZTYN,OLSZTYN,OLSZTYN,29-750,(48) 714999333,biuro61@example.test,https://www.podmiot61.example.test,66.22.Z,2011-04-15
766249723,9721454397,0000109057,MAZOVIA BROKER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Portowa 98/45, 94-552 Bydgoszcz",KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,BYDGOSZCZ,55-704,788939704,biuro62@example.test,https://www.podmiot62.example.test,66.22.Z,2014-04-03
620349381,5860285861,,MONIKA GRABOWSKA KONSULTING,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"ul. Kościuszki 163, 45-587 Gdynia",PODKARPACKIE,RZESZÓW,RZESZÓW,RZESZÓW,90-624,(48) 568532982,biuro63@example.test,,66.22.Z,2025-10-04
394503112,7872543933,0000549358,BALTIC MED SUPPLY S.A.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"71-185 Łódź, ul Słoneczna 61 m. 33",ŁÓDZKIE,ŁÓDŹ,ŁÓDŹ,ŁÓDŹ,16-399,717 739 814,biuro64@example.test,,66.22.Z,2013-06-22
893623910,2920336395,0000633126,AMBER PAYMENTS SP Z OO,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ul. Topolowa 153/30, 66-576 Lublin",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN,70-444,+48 754 974 964,biuro65@example.test,https://www.podmiot65.example.test,62.02.Z,2010-02-26
069986250,7584599674,,MAGDALONA NOWACKA STUDIO DANYCH,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"ul. Łąkowa 152/31, 67-166 Wrocław",MAŁOPOLSKIE,KRAKÓW,KRAKÓW,KRAKÓW,91-740,527806453,biuro66@example.test,,66.22.Z,2021-09-29
904116591,3531557731,0000155427,QUANTUM SERVICES SP Z OO,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"43-664 Warszawa, ul Jarzębinowa 112 m. 8",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA,09-384,48-736-381-765,biuro67@example.test,,62.02.Z,2015-10-29
130659400,5672313877,0000216423,Polaris Capital sp. z o.o.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Bałtycka 122, 44-400 Lublin",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN,24-581,48-575-296-440,biuro68@example.test,,62.01.Z,2019-11-29
541733206,2801920107,0000112656,AMBER PAYMENTS SERVICES SP. Z O.O.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"Żeromskiego 85, 43-416 Bydgoszcz",KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,BYDGOSZCZ,81-106,(48) 783861796,biuro69@example.test,,62.02.Z,2011-09-02
650374220,5521484552,0000661262,ORBIS RETAIL SOLUTIONS SPÓŁKA AKCYJNA,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"Srebrna 156/18, 22-438 Opole",OPOLSKIE,OPOLE,OPOLE,OPOLE,44-145,+48 545 278 386,biuro70@example.test,https://www.podmiot70.example.test,62.02.Z,2023-05-12
792953904,3830556107,0000999671,Orbis Retail Solutions Services SP Z O O,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Jarzębinowa 163/31, 22-109 Łódź",ŁÓDZKIE,ŁÓDŹ,ŁÓDŹ,ŁÓDŹ,85-239,628914063,biuro71@example.test,https://www.podmiot71.example.test,62.01.Z,2020-06-09
979534278,6336425959,0000296690,NOVA DATA MARKETS SP Z OO,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"Jarzębinowa 85/65, 94-395 Szczerin",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,SZCZECIN,66-747,+48 634 195 117,biuro72@example.test,https://www.podmiot72.example.test,66.22.Z,2023-02-15
505125179,1663654275,,RAFAŁ DUDA POŚREDNICTWO,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"ul. Krótka 146, 99-815 Szczecin",KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,BYDGOSZCZ,11-930,696255149,biuro73@example.test,,62.02.Z,2023-05-13
876854933,9403175694,0000249826,OPTIMA TRADE SP. Z O.O.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"Srebrna 39/41, 76-886 Wrocław",DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW,WROCŁAW,12-611,(48) 737168658,biuro74@example.test,,64.99.Z,2010-01-13
877219943,5173358554,,KRZYSZTOF ZIELIŃSKI STUDIO DANYCH,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"60-700 Lublin, ul Topolowa 2 m. 28",PODKARPACKIE,RZESZÓW,RZESZÓW,RZESZÓW,14-991,48-580-342-692,biuro75@example.test,,66.22.Z,2022-05-26
545523150,8029173011,,SEBASTIAN JANKOWSKI USŁUGI FINANSOWE,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"89-26 Zielona Góra, ul Topolowa 33",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN,59-293,+48 576 175 290,biuro76@example.test,https://www.podmiot76.example.test,62.02.Z,2016-06-08
562797836,3436140663,,PATRYCJA KOWALSKA BIURO UBEZPIECZEŃ,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"uly Mickiewicza 177/80, 51-427 Bydgoszcz",POMORSKIE,GDYNIA,GDYNIA,GDYNIA,32-730,+48 658 529 660,biuro77@example.test,,64.99.Z,2023-07-02
139415561,5060532387,0000651230,AURUM INVEST TECHNOLOGIE SPÓŁKA AKCYJNA,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ul. Polna 54, 71-139 Poznań",WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ,35-622,+48 582 717 557,biuro78@example.test,,62.02.Z,2012-10-24
