Numer agenta,Firma/Nazwa,Zakład ubezpieczeń,Rodzaj agenta,Numer KRS,Miejscowość,Ulica i numer,Kod pocztowy,Numer NIP,Imię,DrugieImię,Nazwisko,PESEL,Data wpisu,Data zakończenia
10000023/A/300023,Gospodarstwo Rolno-Ogrodnicze sp z oo,PZU SA,przedsiębiorca,0000002239,Toruń,Chełmińska 32,87-100,1236626839,Mariusz,Jacek,Baran,83010738376,2016-27-04,20250721
10000024/A/300024,Drukarnia Wielkoformatowa Impress sp. z o. o.,UNIQA TU S.A.,przedsiębiorca,0000002336,Rzeszów,ul. 3 Maja 49/43,35-030,1236706024,Izabela,,Rutkowska,84021439724,20200116,26/12/2025
10000025/A/300025,Klub Fitness Sylwetka Sp. z o.o.,UNIQA TU S.A.,osoba fizyczna,0000002433,Rzeszów,ul Piłsudskiego 66,35-074,1236785213,Henryk,Przemysław,Górski,85032141114,07/01/2024,2016/24/06
10000026/A/300026,Polska Grupa Energetyczna SP Z O O,UNIQA TU S.A.,przedsiębiorca,0000002530,Kielce,ulica Sienkiewicza 83,25-007,1236864409,Weronika,Kinga,Sikora,86042842464,2016/03/01,28-06-2025
10000027/A/300027,Mazowieckie Zakłady Drobiarskie spółka z ograniczoną odpowiedzialnością,PZU SA,przedsiębiorca,0000002627,Kielce,Warszawska 100,25-512,1236943592,Stanisław,,Ostrowski,87050743857,19-07-2016,2024-19-11
10000028/A/300028,Hurtownia Farmaceutyczna Aptekarz Spółka z ograniczoną odpowiedzialnością,ERGO HESTIA S.A.,osoba fizyczna,0000002724,Olsztyn,ul. Kościuszki 117/5,10-504,1237022782,Zofia,Kamila,Tomaszewska,88061445206,2023-23-08,20190917
10000029/A/300029,Kancelaria Notarialna Lex S.A.,ERGO HESTIA S.A.,przedsiębiorca,0000002821,Olsztyn,os. Dąbrowszczaków 134,10-540,1237101978,Bartłomiej,Daniel,Zając,89072146593,20231203,24/10/2020
10000030/A/300030,Biuro Podróży Wojażer SA,PZU SA,przedsiębiorca,0000002918,Opole,ulica Krakowska 151,45-018,1237181167,Olga,,Pietrzak,90082847941,11/09/2020,2021/03/11
10000031/A/300031,Szkoła Języków Obcych Lingua S. A.,ERGO HESTIA S.A.,przedsiębiorca,0000003015,Opole,Ozimska 168,45-057,1237260352,Damian,Waldemar,Wójcicki,91090749335,2023/15/02,05-06-2024
10000032/A/300032,Centrum Logistyczne Podlasie Spółka Akcyjna,WARTA S.A.,osoba fizyczna,0000003112,Zielona Góra,ul. Bohaterów Westerplatte 5/57,65-034,1247339575,Ewelina,Danuta,Czarnecka,92101450680,30-08-2020,2025-14-09
10000033/A/300033,Fabryka Mebli Drewnianych Dąb sp. z o.o.,WARTA S.A.,osoba fizyczna,0000003209,Zielona Góra,ul Kupiecka 22,65-058,1237418735,Bartosz,,Lis,93112152077,2024-20-05,20240224
10000034/A/300034,Polskie Sady sp z oo,ERGO HESTIA S.A.,osoba fizyczna,0000003306,Gdynia,ulica Świętojańska 39,81-372,1237497924,Sylwia,Aneta,Kołodziej,94122853426,20161130,07/12/2024
10000035/A/300035,Wielkopolska Hurtownia Stali sp. z o. o.,UNIQA TU S.A.,przedsiębiorca,0000003403,Gdynia,10 Lutego 56,81-364,1247577145,Leszek,Kacper,Kaczmarek,95010754814,31/10/2021,2026/10/04
10000036/A/300036,Zakład Oczyszczania Miasta Sp. z o.o.,ERGO HESTIA S.A.,przedsiębiorca,0000003500,Pruszków,ul. Bolesława Prusa 73/19,05-800,1237656305,Grażyna,,Piątek,96021456164,2020/27/02,18-09-2024
10000037/A/300037,Przedsiębiorstwo Wodociągów i Kanalizacji SP Z O O,UNIQA TU S.A.,przedsiębiorca,0000003597,Piaseczno,,05-500,1237735499,Cezary,Szymon,Sadowski,97032157550,22-01-2019,2023-18-11
10000038/A/300038,Instytut Badań Rynkowych spółka z ograniczoną odpowiedzialnością,ERGO HESTIA S.A.,osoba fizyczna,0000003694,Wieliczka,ulica Sienkiewicza 107,32-020,1237814684,Bożena,Oliwia,Włodarczyk,98042858909,2022-03-07,20230817
10000039/A/300039,Agencja Ochrony Solidna Spółka z ograniczoną odpowiedzialnością,UNIQA TU S.A.,osoba fizyczna,0000003791,Oświęcim,Dąbrowskiego 124,32-600,1237893873,Filip,,Borkowski,99050760297,20200322,10/08/2018
10000040/A/300040,Instagram - Meta,ERGO HESTIA S.A.,przedsiębiorca,0000003888,Krosno,ul. Rynek 141/71,38-400,1237973069,Zuzanna,Emilia,Sawicka-Pająk,00261461640,05/03/2022,2019/17/09
10000041/A/300041,Krajowa Izba Gospodarcza SA,ERGO HESTIA S.A.,osoba fizyczna,0000003985,Mielec,ul Mickiewicza 158,39-300,1238052259,Mikołaj,Ignacy,Dudek,01272163037,2021/23/09,24-10-2020
10000042/A/300042,Polskie Zakłady Lotnicze S. A.,ERGO HESTIA S.A.,osoba fizyczna,0000004082,Świdnica,175,58-100,1238131444,Lena,,Adamczyk,02282864387,08-02-2017,2021-11-03
10000043/A/300043,Hurtownia Elektryczna Wat Spółka Akcyjna,WARTA S.A.,osoba fizyczna,0000004179,Kłodzko,Wojska Polskiego 12,57-300,1248210665,Antoni,Leon,Pawłowski,03290765770,2020-17-12,20260521
10000044/A/300044,Centrum Ogrodnicze Zielona Oaza sp. z o.o.,ERGO HESTIA S.A.,przedsiębiorca,0000004276,Gniezno,ul. Chrobrego 29/33,62-200,1238289820,Hanna,Dominika,Nowicka,04301467122,20160815,14/09/2024
10000045/A/300045,Piekarnia i Cukiernia Chrupiący Rogalik sp z oo,ERGO HESTIA S.A.,przedsiębiorca,0000004373,Leszno,ul Słowiańska 46,64-100,1238369016,Franciszek,,Sokołowski,05312168518,21/04/2021,2023/25/09
10000046/A/300046,Zakład Usług Komunalnych sp. z o. o.,WARTA S.A.,osoba fizyczna,0000004470,Tczew,ulica Gdańska 63,83-110,1238448201,Amelia,Jagoda,Wróbel,60122869864,2023/19/04,03-03-2025
10000047/A/300047,Polski Komfort Sp. z o.o.,WARTA S.A.,przedsiębiorca,0000004567,Wejherowo,Sobieskiego 80,84-200,1238527395,Nikodem,Jerzy,Majewski,61010771256,01-02-2015,2023-09-12
10000048/A/300048,Kancelaria Radców Prawnych Partnerzy SP Z O O,ERGO HESTIA S.A.,osoba fizyczna,0000004664,Cieszyn,ul. Głęboka 97/85,43-400,1238606580,Martyna,,Olszewska,62021472604,2016-10-05,20150517
10000049/A/300049,Centrum Dystrybucji Alkoholi spółka z ograniczoną odpowiedzialnością,WARTA S.A.,przedsiębiorca,0000004761,Będzin,114,42-500,1248685807,Miłosz,Marian,Jaworski,63032173991,20170120,24/06/2016
10000050/A/300050,Przedsiębiorstwo Spedycyjne Ładunek Spółka z ograniczoną odpowiedzialnością,PZU SA,przedsiębiorca,0000004858,Inowrocław,ulica Królowej Jadwigi 131,88-100,1238764965,Agata,Irena,Malinowska,64042875341,22/02/2025,2023/09/02
10000051/A/300051,Fabryka Tekstyliów Splot S.A.,PZU SA,przedsiębiorca,0000004955,Grudziądz,Wybickiego 148,86-300,1238844150,Tadeusz,,Pająk,65050776734,2018/23/11,10-02-2023
10000052/A/300052,Górnośląskie Towarzystwo Finansowe SA,WARTA S.A.,przedsiębiorca,0000005052,Ostróda,ul. Czarnieckiego 165/47,14-100,1238923346,Helena,Izabela,Szczepańska,66061478084,23-06-2020,2019-17-09
10000053/A/300053,Krajowa Agencja Informacyjna S. A.,UNIQA TU S.A.,osoba fizyczna,0000005149,Nibylandia,ul Nieistniejąca 2,99-999,1239002536,Stefan,Mirosław,Czerwiński,67072179470,2019-20-02,20201024
10000054/A/300054,Polskie Jagody Spółka Akcyjna,WARTA S.A.,osoba fizyczna,0000005246,Puławy,ulica Lubelska 19,24-100,1239081725,Jadwiga,,Kubiak,68082880822,20190720,10/01/2023
10000055/A/300055,Zielony Amber sp. z o.o.,ERGO HESTIA S.A.,przedsiębiorca,0000005343,Zamość,Staszica 36,22-400,1239160910,Józef,Piotr,Wilk,69090782216,20/06/2024,2023/11/07
10000056/A/300056,Zielony Bizon sp z oo,PZU SA,osoba fizyczna,0000005440,Augustów,53/9,16-300,1239240106,Monika,Maria,Wysocka,70101483567,2017/14/09,18-04-2025
10000057/A/300057,Zielony Canyon sp. z o. o.,UINQ  ..,przedsęiiborca,0000005537,Suwałki,ul Kościuszki 70,16-400,1239319291,Edward,,Chmielewski,71112184953,07-03-2023,2024-24-02
10000058/A/300058,Zielony Delfin Sp. z o.o.,UNIQA TU S.A.,przedsiębiorca,0000005634,Nysa,os. Piastowska 87,48-300,1239398480,Sabina,Joanna,Urbańska,72122886303,2016-03-11,20250303
10000059/A/300059,Zielony Echo SP Z O O,UNIQA TU S.A.,osoba fizyczna,0000005731,Brzeg,Długa 104,49-300,1239477676,Arkadiusz,Paweł,Błaszczyk,73010787692,20170924,17/01/2026
10000060/A/300060,P.P.H.U. Zielony Falcon,ERGO HESTIA S.A.,przedsiębiorca,0000005828,Żary,ul. Rynek 121/61,68-200,1239556861,Anna,,Szulc,74021489041,02/12/2019,2015/17/05
10000061/A/300061,Zielony Gryf Spółka z ograniczoną odpowiedzialnością,UNIQA TU S.A.,osoba fizyczna,0000005925,Świebodzin,ul Sikorskiego 138,66-200,1239636057,Tomasz,Robert,Kozak,75032190430,2023/07/05,17-12-2026
10000062/A/300062,Zielony Horyzont S.A.,WARTA S.A.,osoba fizyczna,0000006022,Kołobrzeg,ulica Armii Krajowej 155,78-100,1239715242,Katarzyna,Agnieszka,Cieślak,76042891780,28-10-2024,2017-07-03
10000063/A/300063,Zielony Ikar SA,WARTA S.A.,przedsiębiorca,0000006119,Stargard,Piłsudskiego 172,73-110,1239794431,Krzysztof,,Andrzejewski,77050793174,2017-03-10,20260829
10000064/A/300064,Zielony Jantar S. A.,UNIQA TU S.A.,przedsiębiorca,0000006216,Sandomierz,ul. Mickiewicza 9/23,27-600,1239873627,Ewa,Justyna,Gajewska,78061494522,20210807,17/09/2019
10000065/A/300065,Zielony Koral Spółka Akcyjna,WARTA S.A.,przedsiębiorca,0000006313,Ostrowiec Świętokrzyski,ul Sienkiewicza 26,27-400,1239952812,Adam,Jan,Laskowski,79072195918,17/01/2022,2020/24/10
10000066/A/300066,Zielony Lotos sp. z o.o.,WARTA S.A.,przedsiębiorca,0000006410,Warszawa,ulica Chmielna 43,00-020,1240032000,Monika,,Mazurek,80082897268,2017/15/07,03-11-2021
10000067/A/300067,Zielony Magnolia sp z oo,ERGO HESTIA S.A.,przedsiębiorca,0000006507,Warszawa,Nowy Świat 60,00-029,1240111194,Marek,Marcin,Sobczak,81090798651,15-01-2022,2025-28-07
10000068/A/300068,Zielony Neon sp. z o. o.,UNIQA TU S.A.,przedsiębiorca,0000006604,Warszawa,ul. os. Przyjaźń 77/75,01-355,1240190383,Barbara,Karolina,Konieczna,82101400006,2023-23-10,20230117
10000069/A/300069,Zielony Oaza Sp. z o.o.,PZU SA,przedsiębiorca,0000006701,Legionowo,ul Jagiellońska 94,05-120,1240269570,Rafał,,Brzeziński,83112101393,20210130,24/02/2024
10000070/A/300070,Zielony Pegaz SP Z O O,PZU SA,osoba fizyczna,0000006798,Marki,ulica Piłsudskiego 111,05-270,1240348766,Aleksandra,Małgorzata,Makowska,84122802742,10/03/2024,2025/03/03
10000071/A/300071,Zielony Rubin spółka z ograniczoną odpowiedzialnością,ERGO HESTIA S.A.,przedsiębiorca,0000006895,Otwock,Andriollego 128,05-400,1240427951,Andrzej,Jakub,Wrona,85010704131,2025/29/01,10-04-2026
10000072/A/300072,Zielony Szafir Spółka z ograniczoną odpowiedzialnością,PZU SA,przedsiębiorca,0000006992,Radom,ul. Żeromskiego 145/37,26-600,1240507147,Marta,,Bąk,86021405480,08-03-2018,2025-07-07
10000073/A/300073,Zielony Tytan S.A.,WARTA S.A.,osoba fizyczna,0000007089,Płock,ul Tumska 162,09-402,1240586336,Łukasz,Artur,Kucharski,87032106876,2020-08-09,20160624
10000074/A/300074,Zielony Uran SA,PZU SA,osoba fizyczna,0000007186,Kraków,ulica Karmelicka 179,31-128,1240665521,Paulina,Iwona,Lisowska,88042808226,20211011,03/07/2017
10000075/A/300075,Zielony Wektor S. A.,UNIQA TU S.A.,przedsiębiorca,0000007283,Kraków,os. Na Stoku 16,31-704,1240744717,Mateusz,,Słowik,89050709619,12/01/2023,2018/10/08
10000076/A/300076,Zielony Zefir Spółka Akcyjna,UNIQA TU S.A.,przedsiębiorca,0000007380,Zakopane,ul. Krupówki 33/89,34-500,1240823902,Elżbieta,Renata,Kopeć,90061410960,2023/19/11,08-07-2026
10000077/A/300077,Zielony Żubr sp. z o.o.,UNIQA TU S.A.,przedsiębiorca,0000007477,Mordarka,50,34-600,1240903096,Dawid,Maciej,Czajka,91072112357,22-06-2015,2020-24-10
10000078/A/300078,Zielony Sokół sp z oo,ERGO HESTIA S.A.,osoba fizyczna,0000007574,Zielonki,ulica Galicyjska 67,32-087,1240982285,Dorota,,Matusiak,92082813706,2021-15-05,20230914
10000079/A/300079,Zielony Orzeł sp. z o. o.,PZU SA,osoba fizyczna,0000007671,Podłęże,84,32-003,1241061475,Dariusz,Zbigniew,Gajda,93090715091,20240719,10/12/2022
10000080/A/300080,mBank,WARTA S.A.,osoba fizyczna,0000007768,Tarnów,ul. Wałowa 101/51,33-100,1241140660,Beata,Patrycja,Klimek-Bednarek,94101416442,19/04/2022,2023/17/01
10000081/A/300081,Zielony Barycz SP Z O O,UNIQA TU S.A.,przedsiębiorca,0000007865,Łódź,ul Narutowicza 118,90-135,1241219858,Sławomir,,Madej,95112117838,2024/17/10,202402240143
10000082/A/300082,Zielony Noteć spółka z ograniczoną odpowiedzialnością,PZU SA,przedsiębiorca,0000007962,Łódź,ulica os. Retkinia 135,94-004,1241299047,Urszula,Wiktoria,Krupa,96122819189,04-12-2020,2023-29-06
10000083/A/300083,Zielony Pilica Spółka z ograniczoną odpowiedzialnością,WARTA S.A.,przedsiębiorca,0000008059,,Zamkowa 152,95-200,1241378232,Mariusz,Jacek,Kaczmarczyk,97010720570,2024-22-05,20240327
10000084/A/300084,Zielony Narew S.A.,UNIQA TU S.A.,osoba fizyczna,0000008156,Zgierz,ul. Długa 169/13,95-100,1241457428,Izabela,,Wrona,98021421928,20230525,17/05/2015
10000085/A/300085,Zielony Jodełka SA,ERGO HESTIA S.A.,osoba fizyczna,0000008253,Wrocław,ul Rynek 6,50-101,1241536613,Henryk,Przemysław,Wasilewski,99032123315,17/12/2016,2016/24/06
10000086/A/300086,Zielony Kaktus S. A.,ERGO HESTIA S.A.,przedsiębiorca,0000008350,Wrocław,ulica Jedności Narodowej 23,50-260,1241615809,Weronika,Kinga,Kalinowska,00242824660,2020/05/01,24-11-2026
10000087/A/300087,Zielony Szmaragd Spółka Akcyjna,WARTA S.A.,osoba fizyczna,0000008447,Karpacz,os. Konstytucji 3 Maja 40,58-540,1241694996,Stanisław,,Zarychta,01250726054,01/01/2017 01:19,2018-08-10
10000088/A/300088,Zielony Topaz sp. z o.o.,PZU SA,przedsiębiorca,0000008544,Lubin,ul. Odrodzenia 57/65,59-300,,Zofia,Kamila,Przybylska,02261427402,2017-21-09,20190917
10000089/A/300089,Zielony Granit sp z oo,PZU SA,przedsiębiorca,0000008641,Wałbrzych,ul Słowackiego 74,58-300,1241853377,Bartłomiej,Daniel,Michalak,03272128799,20240815,10/05/2023
10000090/A/300090,Zielony Marmur sp. z o. o.,WARTA S.A.,osoba fizyczna,0000008738,Poznań,ulica Półwiejska 91,61-888,1241932562,Olga,,Szatkowska,04282830142,14/09/2025,2021/03/11
10000091/A/300091,Zielony Syrena Sp. z o.o.,UNIQA TU S.A.,przedsiębiorca,0000008835,Poznań,os. Bolesława Chrobrego 108,60-681,1242011752,Damian,Waldemar,Bednarek,05290731535,2020/25/10,08-11-2023
10000092/A/300092,Zielony Zodiak SP Z O O,WARTA S.A.,przedsiębiorca,0000008932,Kalisz,ul. Główny Rynek 125/27,62-800,1242090941,Ewelina,Danuta,Podgórska,60101432883,04-03-2016,2023-17-01
10000093/A/300093,Zielony Olimp spółka z ograniczoną odpowiedzialnością,WARTA S.A.,osoba fizyczna,0000009029,Ostrów Wielkopolski,ul Kaliska 142,63-400,1242170137,Bartosz,,Śliwiński,61112134270,2022-24-05,20240224
10000094/A/300094,Zielony Zorza Spółka z ograniczoną odpowiedzialnością,PZU SA,przedsiębiorca,0000009126,Gdańsk,ulica Ogarna 159,80-826,1242249324,Sylwia,Aneta,Czajkowska,62122835629,20190329,06/10/2024
10000095/A/300095,Zielony Krokus S.A.,WARTA S.A.,osoba fizyczna,0000009223,Gdańsk,os. Jasień 176,80-180,1252328545,Leszek,Kacper,Biernat,63010737018,10/09/2022,2023/11/03
10000096/A/300096,Zielony Narcyz SA,UNIQA TU S.A.,przedsiębiorca,0000009320,Sopot,ul. Bohaterów Monte Cassino 13/79,81-759,1242407705,Grażyna,,Panek,64021438367,2024/02/12,06-11-2024
10000097/A/300097,Zielony Giewont S. A.,WARTA S.A.,osoba fizyczna,0000009417,Chwaszczyno,30,80-209,1242486892,Cezary,Szymon,Prus,65032139753,04-07-2017,2023-14-03
10000098/A/300098,Zielony Rysy Spółka Akcyjna,UNIQA TU S.A.,przedsiębiorca,0000009514,Katowice,ulica 3 Maja 47,40-096,1242566088,Bożena,Oliwia,Janik,66042841106,2025-12-09,20260331
10000099/A/300099,Zielony Kasprowy sp. z o.o.,UNIQA TU S.A.,osoba fizyczna,0000009611,Katowice,os. Paderewskiego 64,40-282,1242645273,Filip,,Kowalski,67050742490,20161019,28/09/2026
10000100/A/300100,PPHU Zielony Beskid,ERGO HESTIA S.A.,przedsiębiorca,0000009708,Gliwice,ul. Zwycięstwa 81/41,44-100,1242724469,Zuzanna,Emilia,Nowacka,68061443848,28/08/2018,2025/06/01
10000101/A/300101,Zielony Bieszczady sp. z o. o.,WARTA S.A.,przedsiębiorca,0000009805,,ul Bocheńskiego 98,,1242803654,Mikołaj,Ignacy,Wiśniewski,69072145235,2020/15/09,24-10-2020
10000102/A/300102,Zielony Karpaty Sp. z o.o.,WARTA S.A.,osoba fizyczna,0000009902,Częstochowa,ulica Najświętszej Maryi Panny 115,42-200,1242882843,Lena,,Wójcik,70082846584,10-09-2015,2025-24-02
10000103/A/300103,Zielony Bałtyk SP Z O O,UNIQA TU S.A.,przedsiębiorca,0000009999,Bielsko-Biała,11 Listopada 132,43-300,1242962039,Antoni,Leon,Kowalczyk,71090747977,2025-26-12,20251223
10000104/A/300104,Zielony Sudety spółka z ograniczoną odpowiedzialnością,PZU SA,osoba fizyczna,0000010096,Niechobrz,149/3,36-047,1243041229,Hanna,Dominika,Kamińska,72101449329,20250320,18/10/2023
10000105/A/300105,Niebieski Amber Spółka z ograniczoną odpowiedzialnością,UNIQA TU S.A.,osoba fizyczna,0000010193,Przemyśl,ul Franciszkańska 166,37-700,1243120414,Franciszek,,Lewandowski,73112150718,15/02/2018,2025/26/07
10000106/A/300106,Niebieski Bizon S.A.,WARTA S.A.,osoba fizyczna,0000010290,Sanok,ulica Kościuszki 3,38-500,1243199605,Amelia,Jagoda,Zielińska,74122852069,2017/18/02,03-03-2025
10000107/A/300107,Niebieksi Canyon SA,ERGO HESTIA S.A.,oosba fizyczna,0000010387,Białystok,Suraska 20,15-422,1243278799,Nikodem,Jerzy,Szymański,75010753457,28-05-2016,2026-04-10
10000108/A/300108,Niebieski Delfin S. A.,PZU SA,przedsiębiorca,0000010484,Ogrodniczki,37/55,16-030,1243357984,Martyna,,Dąbrowska,76021454805,2022-30-01,20150517
10000109/A/300109,Niebieski Echo Spółka Akcyjna,UNIQA TU S.A.,osoba fizyczna,0000010581,Hajnówka,ul 3 Maja 54,17-200,1253437207,Miłosz,Marian,Mazur,77032156193,20240923,30/08/2023
10000110/A/300110,Niebieski Falcon sp. z o.o.,WARTA S.A.,osoba fizyczna,0000010678,Lublin,ulica os. LSM 71,20-400,1243516365,Agata,Irena,Krawczyk,78042857542,03/04/2024,2023/07/11
10000111/A/300111,Niebieski Gryf sp z oo,WARTA S.A.,przedsiębiorca,0000010775,Mięćmierz,88,24-120,1243595554,Tadeusz,,Woźniak,79050758935,2020/16/08,10-08-2018
10000112/A/300112,Niebieski Horyzont sp. z o. o.,ERGO HESTIA S.A.,osoba fizyczna,0000010872,Biała Podlaska,ul. Brzeska 105/17,21-500,1253674775,Helena,Izabela,Jankowska,80061460287,11-01-2023,2025-07-06
10000113/A/300113,Niebieski Ikar Sp. z o.o.,ERGO HESTIA S.A.,przedsiebiorca,0000010969,Toruń,ul Rynek Staromiejski 122,87-100,1243753935,Stefan,Mirosław,Grabowski,81072161673,2017-30-09,20201024
10000114/A/300114,Niebieski Jantar SP Z O O,UNIQA TU S.A.,osoba fizyczna,,Bydgoszcz,ulica Mostowa 139,85-110,1243833120,Jadwiga,,Pawlak,82082863023,20171105,02/08/2024
10000115/A/300115,Niebieski Koral spółka z ograniczoną odpowiedzialnością,UNIQA TU S.A.,przedsiębiorca,0000011163,Olsztyn,Stare Miasto 156,10-026,1243912316,Józef,Piotr,Michalski,83090764416,11/07/2015,2024/06/03
10000116/A/300116,Niebieski Lotos Spółka z ograniczoną odpowiedzialnością,ERGO HESTIA S.A.,przedsiębiorca,0000011260,Mrągowo,os. Warszawska 173/69,11-700,1243991505,Monika,Maria,Król,84101465768,2016/28/11,17-01-2023
10000117/A/300117,Niebieski Magnolia S.A.,WARTA S.A.,przedsiębiorca,0000011357,Szczecin,ul Wojska Polskiego 10,70-470,1244070693,Edward,,Wieczorek,85112167155,24-08-2016,2026-07-07
10000118/A/300118,Niebieski Neon SA,ERGO HESTIA S.A.,osoba fizyczna,0000011454,Świnoujście,ulica Monte Cassino 27,72-600,1244149880,Sabina,Joanna,Jabłońska,86122868504,2020-07-03,20250303
10000119/A/300119,Niebieski Oaza S. A.,ERGO HESTIA S.A.,osoba fizyczna,0000011551,Opole,Rynek 44,,1244229076,Arkadiusz,Paweł,Witkowski,87010769893,20250314,07/02/2023
